"วันเดือนปี","ล่าสุด","ราคาเปิด","สูงสุด","ต่ำสุด","ปริมาณ","% เปลี่ยน"
"Apr 25, 2021","487.29","471.92","490.96","469.69","3.84B","3.07%"
"Apr 18, 2021","472.76","449.11","478.73","448.39","17.23B","5.74%"
"Apr 11, 2021","447.08","456.32","456.49","437.86","5.42B","-2.45%"
"Apr 04, 2021","458.32","473.19","473.47","451.67","9.28B","-2.90%"
"Mar 28, 2021","472.02","451.95","474.37","451.90","14.85B","4.90%"
"Mar 21, 2021","449.95","431.29","452.92","430.52","18.11B","5.08%"
"Mar 14, 2021","428.18","407.40","428.80","406.91","11.16B","5.36%"
"Mar 07, 2021","406.40","397.50","407.91","394.45","8.80B","2.97%"
"Feb 28, 2021","394.66","376.60","395.28","374.98","7.65B","4.11%"
"Feb 21, 2021","379.07","385.84","385.99","376.10","7.30B","-1.40%"
"Feb 14, 2021","384.46","381.22","387.19","378.45","7.95B","1.13%"
"Feb 07, 2021","380.18","371.18","380.31","371.14","5.23B","2.77%"
"Jan 31, 2021","369.95","356.04","370.67","354.92","6.63B","3.82%"
"Jan 24, 2021","356.33","352.71","359.40","352.07","5.52B","1.71%"
"Jan 17, 2021","350.34","349.99","360.05","349.35","5.80B","0.25%"
"Jan 10, 2021","349.47","341.75","351.14","341.42","4.85B","2.49%"
"Jan 03, 2021","340.99","332.23","344.08","331.79","3.71B","1.40%"
"Dec 27, 2020","336.29","338.03","341.06","334.39","2.58B","-0.19%"
"Dec 20, 2020","336.94","326.85","337.37","319.89","5.78B","-0.48%"
"Dec 13, 2020","338.57","328.53","340.26","327.15","4.40B","3.28%"
"Dec 06, 2020","327.81","331.48","333.07","327.81","1.76B","-1.02%"
"Nov 29, 2020","331.18","328.71","332.83","326.33","5.84B","0.99%"
"Nov 22, 2020","327.93","322.69","327.93","320.90","4.23B","2.16%"
"Nov 15, 2020","320.99","316.29","321.79","313.92","3.78B","1.48%"
"Nov 08, 2020","316.30","319.88","319.96","312.09","4.09B","-0.08%"
"Nov 01, 2020","316.55","310.74","319.77","310.00","3.96B","2.26%"
"Oct 25, 2020","309.56","308.57","313.03","308.21","3.62B","0.34%"
"Oct 18, 2020","308.52","310.17","310.38","301.49","2.14B","-1.74%"
"Oct 11, 2020","313.98","324.34","325.47","310.13","2.98B","-2.83%"
"Oct 04, 2020","323.12","322.72","328.45","321.40","5.07B","0.70%"
"Sep 27, 2020","320.87","318.15","321.85","314.53","3.36B","1.33%"
"Sep 20, 2020","316.67","311.80","319.16","311.64","3.33B","1.96%"
"Sep 13, 2020","310.58","309.08","313.33","305.60","2.72B","1.12%"
"Sep 06, 2020","307.15","312.40","316.28","306.15","3.15B","-1.85%"
"Aug 30, 2020","312.95","311.74","314.38","305.70","3.00B","0.70%"
"Aug 23, 2020","310.77","303.20","312.87","302.08","4.51B","2.79%"
"Aug 16, 2020","302.33","307.60","308.08","297.09","7.33B","-1.75%"
"Aug 09, 2020","307.71","311.44","316.79","306.69","3.07B","-0.57%"
"Aug 02, 2020","309.47","302.71","312.27","302.06","3.95B","2.68%"
"Jul 26, 2020","301.40","304.57","305.95","296.44","1.76B","-0.82%"
"Jul 19, 2020","303.89","303.44","308.53","302.73","3.07B","0.52%"
"Jul 12, 2020","302.33","305.00","305.93","292.52","2.72B","-0.14%"
"Jul 05, 2020","302.74","304.79","307.02","302.74","3.14B","-0.10%"
"Jun 28, 2020","303.04","293.87","304.04","291.31","2.87B","2.39%"
"Jun 21, 2020","295.96","302.26","307.07","291.33","4.38B","-2.08%"
"Jun 14, 2020","302.25","295.02","302.69","289.83","3.55B","2.61%"
"Jun 07, 2020","294.55","296.83","299.67","286.15","5.84B","0.02%"
"May 31, 2020","294.49","286.31","295.06","286.02","2.52B","3.38%"
"May 24, 2020","284.87","275.56","287.85","274.90","3.52B","4.09%"
"May 17, 2020","273.67","265.82","279.53","265.21","4.11B","3.78%"
"May 10, 2020","263.69","255.06","265.09","255.00","3.94B","3.87%"
"May 03, 2020","253.86","254.41","256.62","251.05","2.99B","-0.91%"
"Apr 26, 2020","256.19","250.63","257.13","249.39","2.32B","3.12%"
"Apr 19, 2020","248.44","240.53","250.49","240.04","3.29B","3.35%"
"Apr 12, 2020","240.38","238.19","245.19","235.64","3.23B","1.66%"
"Apr 05, 2020","236.46","222.51","236.48","222.51","3.20B","7.37%"
"Mar 29, 2020","220.22","213.80","220.22","211.28","1.76B","2.62%"
"Mar 22, 2020","214.60","218.74","219.38","209.36","1.93B","-5.20%"
"Mar 15, 2020","226.36","225.40","228.87","214.62","2.07B","-2.47%"
"Mar 08, 2020","232.09","261.57","262.06","212.49","2.94B","-13.83%"
"Mar 01, 2020","269.34","261.74","273.20","253.58","5.05B","2.90%"
"Feb 23, 2020","261.76","296.85","296.99","260.77","2.57B","-12.31%"
"Feb 16, 2020","298.49","305.81","306.13","295.40","1.52B","-2.08%"
"Feb 09, 2020","304.82","304.34","307.83","303.69","1.69B","0.29%"
"Feb 02, 2020","303.95","298.32","304.56","296.06","1.29B","1.46%"
"Jan 26, 2020","299.57","302.99","303.14","296.70","1.25B","-2.29%"
"Jan 19, 2020","306.60","310.01","310.93","304.92","1.61B","-0.71%"
"Jan 12, 2020","308.80","303.77","311.67","302.87","1.84B","1.66%"
"Jan 05, 2020","303.75","309.49","309.62","298.73","1.94B","-2.51%"
"Dec 29, 2019","311.58","308.29","313.57","308.25","724.80M","1.14%"
"Dec 22, 2019","308.06","310.61","310.93","306.07","1.48B","-0.78%"
"Dec 15, 2019","310.49","314.40","314.68","307.90","3.13B","-1.40%"
"Dec 08, 2019","314.89","313.62","316.78","309.27","1.76B","0.32%"
"Dec 01, 2019","313.89","319.25","319.68","311.99","1.30B","-1.56%"
"Nov 24, 2019","318.88","320.68","324.25","316.86","2.30B","-0.36%"
"Nov 17, 2019","320.02","319.75","323.53","318.56","1.75B","0.17%"
"Nov 10, 2019","319.49","333.08","333.88","318.35","2.25B","-3.95%"
"Nov 03, 2019","332.63","322.70","333.49","322.59","2.17B","2.86%"
"Oct 27, 2019","323.37","326.43","326.59","321.64","1.46B","-0.87%"
"Oct 20, 2019","326.21","337.18","338.39","326.21","1.27B","-3.13%"
"Oct 13, 2019","336.74","336.98","338.63","335.20","1.19B","0.06%"
"Oct 06, 2019","336.53","337.60","340.96","333.66","2.24B","-0.23%"
"Sep 29, 2019","337.32","346.58","347.89","337.13","2.03B","-2.40%"
"Sep 22, 2019","345.63","346.68","347.26","343.09","2.07B","-0.33%"
"Sep 15, 2019","346.76","354.55","355.62","345.85","1.63B","-2.16%"
"Sep 08, 2019","354.40","353.94","355.94","352.59","1.55B","0.08%"
"Sep 01, 2019","354.12","352.85","356.19","351.93","1.86B","0.40%"
"Aug 25, 2019","352.72","346.42","353.82","344.53","4.89B","0.46%"
"Aug 18, 2019","351.11","351.42","353.19","347.85","1.91B","0.31%"
"Aug 11, 2019","350.02","356.83","357.35","338.66","1.96B","-2.13%"
"Aug 04, 2019","357.63","363.35","366.93","356.16","2.12B","-1.54%"
"Jul 28, 2019","363.21","373.00","374.08","360.23","2.47B","-2.71%"
"Jul 21, 2019","373.33","375.67","378.89","373.13","3.40B","-0.49%"
"Jul 14, 2019","375.18","376.17","378.21","370.57","3.52B","0.18%"
"Jul 07, 2019","374.51","367.46","378.00","365.19","4.59B","2.75%"
"Jun 30, 2019","364.48","362.92","367.88","359.00","3.35B","0.25%"
"Jun 23, 2019","363.58","359.33","368.00","359.26","2.29B","1.19%"
"Jun 16, 2019","359.30","356.75","362.29","354.76","2.55B","0.97%"
"Jun 09, 2019","355.84","347.55","357.82","347.51","4.25B","2.59%"
"Jun 02, 2019","346.84","339.25","347.91","339.09","1.05B","2.07%"
"May 26, 2019","339.82","339.82","345.64","336.32","2.40B","0.14%"
"May 19, 2019","339.36","338.34","341.81","336.47","1.10B","0.01%"
"May 12, 2019","339.33","357.98","358.83","339.33","1.42B","-5.06%"
"May 05, 2019","357.43","364.05","365.03","356.84","3.23B","-2.35%"
