วันเดือนปี,ล่าสุด,ราคาเปิด,สูงสุด,ต่ำสุด,ปริมาณ,% เปลี่ยน
25-Apr-21,"1,583.13","1,552.05","1,593.23","1,544.38",32.48B,1.90%
18-Apr-21,"1,553.59","1,555.01","1,587.95","1,550.62",146.94B,0.30%
11-Apr-21,"1,548.96","1,561.53","1,562.07","1,529.29",57.49B,-1.11%
04-Apr-21,"1,566.34","1,599.33","1,601.24","1,552.18",131.07B,-1.87%
28-Mar-21,"1,596.27","1,582.73","1,606.41","1,580.90",143.68B,1.36%
21-Mar-21,"1,574.86","1,563.56","1,580.74","1,555.38",162.01B,0.70%
14-Mar-21,"1,563.96","1,573.11","1,583.30","1,554.96",144.34B,-0.27%
07-Mar-21,"1,568.19","1,559.17","1,584.61","1,537.23",153.75B,1.56%
28-Feb-21,"1,544.11","1,493.55","1,553.92","1,487.99",149.29B,3.16%
21-Feb-21,"1,496.78","1,504.65","1,511.30","1,476.50",116.53B,-0.25%
14-Feb-21,"1,500.51","1,515.91","1,531.29","1,493.52",120.56B,-0.52%
07-Feb-21,"1,508.35","1,508.45","1,529.49","1,503.19",105.70B,0.78%
31-Jan-21,"1,496.61","1,465.76","1,500.17","1,456.45",132.50B,2.02%
24-Jan-21,"1,466.98","1,498.36","1,515.32","1,455.55",142.09B,-2.06%
17-Jan-21,"1,497.88","1,511.04","1,529.50","1,494.45",133.30B,-1.40%
10-Jan-21,"1,519.13","1,539.79","1,561.66","1,513.48",136.12B,-1.13%
03-Jan-21,"1,536.44","1,428.80","1,538.61","1,425.48",156.60B,6.01%
27-Dec-20,"1,449.35","1,505.15","1,512.99","1,440.59",70.05B,-2.49%
20-Dec-20,"1,486.31","1,429.50","1,486.84","1,388.23",135.13B,0.27%
13-Dec-20,"1,482.38","1,491.87","1,495.37","1,459.97",142.21B,-0.02%
06-Dec-20,"1,482.67","1,448.08","1,503.89","1,442.65",65.27B,2.27%
29-Nov-20,"1,449.83","1,429.99","1,454.94","1,408.02",129.54B,0.84%
22-Nov-20,"1,437.78","1,397.53","1,444.53","1,392.42",129.23B,3.49%
15-Nov-20,"1,389.34","1,360.94","1,390.37","1,341.46",114.32B,3.18%
08-Nov-20,"1,346.47","1,281.41","1,356.83","1,277.52",134.79B,6.86%
01-Nov-20,"1,260.08","1,196.64","1,270.22","1,191.44",125.50B,5.45%
25-Oct-20,"1,194.95","1,212.49","1,217.88","1,187.49",98.88B,-1.54%
18-Oct-20,"1,213.61","1,221.88","1,223.48","1,202.03",87.58B,-1.63%
11-Oct-20,"1,233.68","1,269.50","1,277.64","1,226.95",79.87B,-2.64%
04-Oct-20,"1,267.14","1,245.79","1,282.65","1,239.06",95.49B,2.39%
27-Sep-20,"1,237.54","1,251.23","1,267.67","1,231.11",81.51B,-0.59%
20-Sep-20,"1,244.94","1,293.77","1,295.35","1,241.52",85.27B,-3.37%
13-Sep-20,"1,288.39","1,285.16","1,295.80","1,270.59",82.72B,0.66%
06-Sep-20,"1,279.96","1,305.64","1,305.85","1,276.38",69.72B,-2.44%
30-Aug-20,"1,311.95","1,328.70","1,333.30","1,301.14",69.95B,-0.86%
23-Aug-20,"1,323.31","1,305.22","1,337.61","1,299.05",97.09B,1.85%
16-Aug-20,"1,299.26","1,329.82","1,332.79","1,292.59",96.04B,-2.09%
09-Aug-20,"1,327.05","1,327.16","1,353.53","1,321.90",83.00B,0.20%
02-Aug-20,"1,324.40","1,324.46","1,346.49","1,311.25",96.85B,-0.31%
26-Jul-20,"1,328.53","1,346.60","1,349.91","1,303.25",56.90B,-0.92%
19-Jul-20,"1,340.92","1,358.62","1,382.29","1,337.21",82.55B,-1.37%
12-Jul-20,"1,359.58","1,361.75","1,363.82","1,326.65",78.34B,0.67%
05-Jul-20,"1,350.50","1,389.18","1,391.77","1,346.72",70.24B,-1.59%
