"วันเดือนปี","ล่าสุด","ราคาเปิด","สูงสุด","ต่ำสุด","ปริมาณ","% เปลี่ยน"
"Apr 25, 2021","2.620","2.840","2.920","2.580","930.10K","-5.76%"
"Apr 18, 2021","2.780","2.460","3.040","2.380","48.24M","18.80%"
"Apr 11, 2021","2.340","2.420","2.420","2.180","3.28M","-3.31%"
"Apr 04, 2021","2.420","2.700","2.740","2.380","6.82M","-9.70%"
"Mar 28, 2021","2.680","2.620","2.800","2.600","17.15M","5.51%"
"Mar 21, 2021","2.540","2.640","2.900","2.420","49.10M","-0.78%"
"Mar 14, 2021","2.560","2.200","2.600","2.140","67.71M","18.52%"
"Mar 07, 2021","2.160","2.200","2.300","2.060","8.88M","-1.82%"
"Feb 28, 2021","2.200","2.080","2.440","2.040","46.79M","8.91%"
"Feb 21, 2021","2.020","1.790","2.140","1.790","21.15M","12.22%"
"Feb 14, 2021","1.800","1.900","1.900","1.790","3.53M","-5.26%"
"Feb 07, 2021","1.900","1.880","1.920","1.880","1.30M","0.53%"
"Jan 31, 2021","1.890","1.930","1.960","1.890","3.51M","-3.57%"
"Jan 24, 2021","1.960","1.970","2.080","1.960","14.55M","0.51%"
"Jan 17, 2021","1.950","1.550","2.300","1.540","65.58M","26.62%"
"Jan 10, 2021","1.540","1.520","1.550","1.520","1.99M","0.65%"
"Jan 03, 2021","1.530","1.450","1.580","1.450","3.41M","3.38%"
"Dec 27, 2020","1.480","1.530","1.600","1.480","3.62M","-3.27%"
"Dec 20, 2020","1.530","1.530","1.550","1.380","2.17M","-0.65%"
"Dec 13, 2020","1.540","1.500","1.580","1.500","4.03M","1.99%"
"Dec 06, 2020","1.510","1.480","1.600","1.470","3.90M","1.34%"
"Nov 29, 2020","1.490","1.530","1.550","1.470","2.07M","-1.97%"
"Nov 22, 2020","1.520","1.550","1.550","1.490","1.40M","1.33%"
"Nov 15, 2020","1.500","1.350","1.530","1.350","3.33M","10.29%"
"Nov 08, 2020","1.360","1.400","1.450","1.360","715.20K","-2.86%"
"Nov 01, 2020","1.400","1.400","1.410","1.360","265.40K","0.72%"
"Oct 25, 2020","1.390","1.340","1.420","1.340","493.60K","1.46%"
"Oct 18, 2020","1.370","1.330","1.380","1.330","243.00K","0.74%"
"Oct 11, 2020","1.360","1.360","1.390","1.330","690.50K","0.00%"
"Oct 04, 2020","1.360","1.380","1.400","1.360","1.19M","-0.73%"
"Sep 27, 2020","1.370","1.390","1.390","1.300","1.18M","0.00%"
"Sep 20, 2020","1.370","1.260","1.390","1.220","5.95M","10.48%"
"Sep 13, 2020","1.240","1.300","1.330","1.190","1.69M","-5.34%"
"Sep 06, 2020","1.310","1.360","1.420","1.300","1.06M","-4.38%"
"Aug 30, 2020","1.370","1.370","1.380","1.330","501.40K","0.00%"
"Aug 23, 2020","1.370","1.380","1.430","1.350","1.23M","-1.44%"
"Aug 16, 2020","1.390","1.420","1.500","1.340","6.11M","-0.71%"
"Aug 09, 2020","1.400","1.390","1.570","1.390","11.11M","-0.71%"
"Aug 02, 2020","1.410","1.340","1.490","1.330","7.46M","6.82%"
"Jul 26, 2020","1.320","1.380","1.380","1.290","1.14M","-3.65%"
"Jul 19, 2020","1.370","1.340","1.510","1.330","7.51M","2.24%"
"Jul 12, 2020","1.340","1.380","1.380","1.310","361.50K","-2.90%"
"Jul 05, 2020","1.380","1.360","1.440","1.340","1.60M","1.47%"
"Jun 28, 2020","1.360","1.330","1.360","1.300","1.23M","2.26%"
"Jun 21, 2020","1.330","1.420","1.430","1.310","2.40M","-6.34%"
"Jun 14, 2020","1.420","1.350","1.560","1.340","14.77M","5.97%"
"Jun 07, 2020","1.340","1.330","1.540","1.320","11.64M","0.00%"
"May 31, 2020","1.340","1.200","1.400","1.200","12.19M","10.74%"
"May 24, 2020","1.210","1.160","1.330","1.160","6.31M","3.42%"
"May 17, 2020","1.170","1.190","1.250","1.130","5.13M","1.74%"
"May 10, 2020","1.150","0.970","1.150","0.940","4.54M","19.79%"
"May 03, 2020","0.960","1.050","1.050","0.950","217.60K","-8.57%"
"Apr 26, 2020","1.050","1.050","1.090","1.010","265.90K","-2.78%"
"Apr 19, 2020","1.080","0.930","1.170","0.930","569.50K","9.09%"
"Apr 12, 2020","0.990","0.970","1.090","0.930","613.80K","4.21%"
"Apr 05, 2020","0.950","0.850","0.950","0.830","435.50K","14.46%"
"Mar 29, 2020","0.830","0.690","0.860","0.690","572.20K","20.29%"
"Mar 22, 2020","0.690","0.650","0.690","0.580","1.00M","9.52%"
"Mar 15, 2020","0.630","0.710","0.710","0.570","1.30M","-13.70%"
"Mar 08, 2020","0.730","1.000","1.040","0.700","2.53M","-27.00%"
"Mar 01, 2020","1.000","0.920","1.150","0.900","548.50K","8.70%"
"Feb 23, 2020","0.920","1.020","1.020","0.900","1.27M","-10.68%"
"Feb 16, 2020","1.030","1.110","1.120","1.010","1.37M","-8.04%"
"Feb 09, 2020","1.120","1.110","1.130","1.110","726.50K","0.90%"
"Feb 02, 2020","1.110","1.120","1.140","1.090","876.00K","0.00%"
"Jan 26, 2020","1.110","1.120","1.140","1.100","810.50K","-2.63%"
"Jan 19, 2020","1.140","1.160","1.170","1.130","699.50K","-2.56%"
"Jan 12, 2020","1.170","1.130","1.320","1.120","4.32M","4.46%"
"Jan 05, 2020","1.120","1.190","1.200","1.120","821.80K","-5.88%"
"Dec 29, 2019","1.190","1.220","1.220","1.190","523.80K","-2.46%"
"Dec 22, 2019","1.220","1.240","1.250","1.200","1.04M","-2.40%"
"Dec 15, 2019","1.250","1.200","1.370","1.160","10.61M","5.04%"
"Dec 08, 2019","1.190","1.210","1.280","1.190","1.60M","-1.65%"
"Dec 01, 2019","1.210","1.180","1.300","1.170","3.58M","2.54%"
"Nov 24, 2019","1.180","1.150","1.300","1.150","2.61M","1.72%"
"Nov 17, 2019","1.160","1.160","1.160","1.100","1.08M","4.50%"
"Nov 10, 2019","1.110","1.280","1.280","1.110","703.30K","-13.28%"
"Nov 03, 2019","1.280","1.290","1.300","1.270","250.20K","-0.78%"
"Oct 27, 2019","1.290","1.350","1.350","1.280","417.80K","-4.44%"
"Oct 20, 2019","1.350","1.410","1.460","1.350","2.29M","-3.57%"
"Oct 13, 2019","1.400","1.400","1.410","1.370","639.60K","-0.71%"
"Oct 06, 2019","1.410","1.430","1.430","1.390","342.70K","-0.70%"
"Sep 29, 2019","1.420","1.460","1.510","1.390","2.77M","-2.74%"
"Sep 22, 2019","1.460","1.480","1.490","1.440","456.00K","-2.01%"
"Sep 15, 2019","1.490","1.540","1.570","1.470","1.36M","-2.61%"
"Sep 08, 2019","1.530","1.550","1.550","1.480","646.20K","-1.29%"
"Sep 01, 2019","1.550","1.580","1.690","1.130","2.26M","-1.27%"
"Aug 25, 2019","1.570","1.500","1.580","1.460","1.02M","1.95%"
"Aug 18, 2019","1.540","1.540","1.600","1.500","1.08M","0.00%"
"Aug 11, 2019","1.540","1.730","1.730","1.530","1.68M","-10.98%"
"Aug 04, 2019","1.730","1.840","1.860","1.730","1.13M","-6.49%"
"Jul 28, 2019","1.850","1.900","1.900","1.840","1.09M","-3.14%"
"Jul 21, 2019","1.910","2.100","2.100","1.880","3.42M","-8.17%"
"Jul 14, 2019","2.080","1.890","2.200","1.880","18.96M","9.47%"
"Jul 07, 2019","1.900","1.930","1.990","1.880","2.88M","-1.04%"
"Jun 30, 2019","1.920","1.890","1.990","1.850","2.99M","2.13%"
"Jun 23, 2019","1.880","1.940","1.940","1.870","1.39M","-1.05%"
"Jun 16, 2019","1.900","1.710","2.060","1.710","12.68M","11.76%"
