"วันเดือนปี","ล่าสุด","ราคาเปิด","สูงสุด","ต่ำสุด","ปริมาณ","% เปลี่ยน"
"Apr 25, 2021","7.60","7.65","8.05","7.45","-","1.33%"
"Apr 18, 2021","7.50","7.70","8.05","7.50","61.55M","-1.32%"
"Apr 11, 2021","7.60","7.75","7.85","7.25","42.28M","0.66%"
"Apr 04, 2021","7.55","7.20","7.60","6.75","35.81M","5.59%"
"Mar 28, 2021","7.15","7.10","7.40","7.05","13.68M","0.70%"
"Mar 21, 2021","7.10","7.35","7.55","7.10","20.55M","-2.07%"
"Mar 14, 2021","7.25","7.05","7.30","6.75","13.21M","2.84%"
"Mar 07, 2021","7.05","7.30","7.55","7.05","26.90M","-3.42%"
"Feb 28, 2021","7.30","7.30","7.65","7.10","29.61M","-1.35%"
"Feb 21, 2021","7.40","7.40","7.75","7.05","43.44M","0.68%"
"Feb 14, 2021","7.35","7.00","7.45","6.75","48.83M","7.30%"
"Feb 07, 2021","6.85","6.40","7.00","6.40","32.24M","7.03%"
"Jan 31, 2021","6.40","6.40","6.50","6.20","4.22M","1.59%"
"Jan 24, 2021","6.30","6.25","6.60","6.05","14.85M","1.61%"
"Jan 17, 2021","6.20","6.60","6.65","6.05","6.13M","-5.34%"
"Jan 10, 2021","6.55","6.55","7.10","6.40","31.09M","0.77%"
"Jan 03, 2021","6.50","6.35","6.90","6.15","26.73M","0.78%"
"Dec 27, 2020","6.45","6.20","6.50","6.00","5.76M","2.38%"
"Dec 20, 2020","6.30","5.60","6.45","5.50","14.74M","3.28%"
"Dec 13, 2020","6.10","5.95","6.60","5.90","26.59M","3.39%"
"Dec 06, 2020","5.90","6.05","6.20","5.85","11.98M","-1.67%"
"Nov 29, 2020","6.00","4.70","6.45","4.58","55.75M","28.76%"
"Nov 22, 2020","4.66","4.64","4.86","4.64","11.32M","1.75%"
"Nov 15, 2020","4.58","4.42","4.72","4.42","19.50M","4.09%"
"Nov 08, 2020","4.40","4.32","4.52","4.26","9.59M","2.33%"
"Nov 01, 2020","4.30","4.36","4.58","4.22","17.24M","-1.38%"
"Oct 25, 2020","4.36","4.12","4.50","4.12","10.72M","6.34%"
"Oct 18, 2020","4.10","4.16","4.16","4.02","580.60K","-0.49%"
"Oct 11, 2020","4.12","4.18","4.30","3.98","1.47M","-0.96%"
"Oct 04, 2020","4.16","4.08","4.22","4.04","1.63M","2.46%"
"Sep 27, 2020","4.06","4.04","4.10","3.96","1.12M","0.50%"
"Sep 20, 2020","4.04","4.14","4.30","4.00","3.17M","-2.42%"
"Sep 13, 2020","4.14","4.20","4.34","4.06","3.22M","-1.90%"
"Sep 06, 2020","4.22","4.46","4.46","4.20","4.13M","-5.80%"
"Aug 30, 2020","4.48","4.52","4.58","4.26","10.55M","-0.88%"
"Aug 23, 2020","4.52","4.82","4.88","4.52","19.20M","-6.61%"
"Aug 16, 2020","4.84","4.92","5.20","4.56","40.14M","-0.41%"
"Aug 09, 2020","4.86","4.64","4.92","4.64","25.67M","4.29%"
"Aug 02, 2020","4.66","4.40","4.68","4.34","28.88M","5.91%"
"Jul 26, 2020","4.40","4.40","4.46","4.30","1.99M","-0.45%"
"Jul 19, 2020","4.42","4.38","4.56","4.36","14.70M","0.00%"
"Jul 12, 2020","4.42","4.34","4.48","4.34","6.24M","0.91%"
"Jul 05, 2020","4.38","4.34","4.44","4.30","3.79M","0.00%"
"Jun 28, 2020","4.38","4.30","4.40","4.22","2.80M","1.39%"
"Jun 21, 2020","4.32","4.46","4.52","4.16","6.82M","-2.70%"
"Jun 14, 2020","4.44","4.54","4.68","4.42","8.60M","-2.63%"
"Jun 07, 2020","4.56","4.56","4.78","4.48","15.45M","0.44%"
"May 31, 2020","4.54","4.48","4.62","4.44","10.71M","1.34%"
"May 24, 2020","4.48","4.50","4.74","4.38","9.09M","-0.44%"
"May 17, 2020","4.50","4.32","4.62","4.24","14.98M","2.74%"
"May 10, 2020","4.38","4.06","4.46","3.92","17.03M","7.88%"
"May 03, 2020","4.06","4.22","4.30","3.92","4.95M","-5.14%"
"Apr 26, 2020","4.28","4.28","4.32","4.04","6.32M","-4.89%"
"Apr 19, 2020","4.50","4.54","4.64","4.40","18.20M","-0.44%"
"Apr 12, 2020","4.52","4.28","4.62","4.28","8.27M","5.12%"
"Apr 05, 2020","4.30","4.02","4.30","4.00","4.95M","6.97%"
"Mar 29, 2020","4.02","4.02","4.10","3.86","3.32M","-0.99%"
"Mar 22, 2020","4.06","4.02","4.08","3.80","8.68M","-0.98%"
"Mar 15, 2020","4.10","3.46","4.12","3.40","6.39M","13.26%"
"Mar 08, 2020","3.62","3.80","3.92","3.16","2.69M","-6.22%"
"Mar 01, 2020","3.86","3.70","3.90","3.50","1.23M","4.32%"
"Feb 23, 2020","3.70","4.42","4.42","3.56","2.03M","-16.67%"
"Feb 16, 2020","4.44","4.60","4.70","4.42","639.00K","-3.48%"
"Feb 09, 2020","4.60","4.82","4.84","4.56","863.40K","-4.56%"
"Feb 02, 2020","4.82","4.78","4.88","4.70","516.50K","-0.41%"
"Jan 26, 2020","4.84","4.98","4.98","4.74","1.52M","-2.81%"
"Jan 19, 2020","4.98","5.15","5.15","4.98","911.70K","-2.35%"
