"วันเดือนปี","ล่าสุด","ราคาเปิด","สูงสุด","ต่ำสุด","ปริมาณ","% เปลี่ยน"
"Apr 25, 2021","18.30","17.10","19.20","16.70","14.11M","8.93%"
"Apr 18, 2021","16.80","14.30","17.70","13.90","360.35M","20.86%"
"Apr 11, 2021","13.90","11.90","14.10","11.60","103.98M","17.80%"
"Apr 04, 2021","11.80","12.70","12.70","11.10","65.57M","-7.09%"
"Mar 28, 2021","12.70","13.00","13.50","12.30","60.56M","-1.55%"
"Mar 21, 2021","12.90","12.90","15.00","12.20","164.88M","1.57%"
"Mar 14, 2021","12.70","11.30","13.00","11.10","76.33M","10.43%"
"Mar 07, 2021","11.50","13.10","13.30","10.80","109.84M","-10.85%"
"Feb 28, 2021","12.90","10.30","13.00","9.95","128.22M","17.27%"
"Feb 21, 2021","11.00","9.35","11.90","9.30","243.04M","15.18%"
"Feb 14, 2021","9.55","8.70","9.55","8.40","225.72M","15.06%"
"Feb 07, 2021","8.30","7.75","8.35","7.75","63.85M","7.79%"
"Jan 31, 2021","7.70","7.20","7.85","7.20","91.26M","6.94%"
"Jan 24, 2021","7.20","7.80","7.80","7.05","92.24M","-5.26%"
"Jan 17, 2021","7.60","8.15","8.30","7.55","131.11M","-6.75%"
"Jan 10, 2021","8.15","8.65","9.35","8.10","270.88M","0.62%"
"Jan 03, 2021","8.10","7.25","8.65","7.00","152.66M","6.58%"
"Dec 27, 2020","7.60","8.25","8.30","7.45","62.72M","-8.43%"
"Dec 20, 2020","8.30","6.70","8.30","6.55","109.26M","12.93%"
"Dec 13, 2020","7.35","6.10","7.35","6.00","125.56M","26.72%"
"Dec 06, 2020","5.80","6.10","6.25","5.65","33.10M","-6.45%"
"Nov 29, 2020","6.20","6.30","6.30","5.90","53.80M","-3.13%"
"Nov 22, 2020","6.40","6.10","6.60","5.85","257.22M","8.47%"
"Nov 15, 2020","5.90","5.50","6.25","5.30","172.43M","7.27%"
"Nov 08, 2020","5.50","5.05","5.60","4.98","120.07M","11.79%"
"Nov 01, 2020","4.92","4.92","5.15","4.88","43.76M","1.23%"
"Oct 25, 2020","4.86","4.92","5.20","4.86","51.81M","0.41%"
"Oct 18, 2020","4.84","4.90","5.05","4.66","50.23M","-3.20%"
"Oct 11, 2020","5.00","5.10","5.45","4.94","46.42M","-4.76%"
"Oct 04, 2020","5.25","6.10","6.25","5.15","120.30M","-11.02%"
"Sep 27, 2020","5.90","5.40","5.90","5.25","139.48M","14.56%"
"Sep 20, 2020","5.15","4.34","5.20","4.30","172.66M","20.33%"
"Sep 13, 2020","4.28","4.36","4.40","4.20","16.14M","-1.38%"
"Sep 06, 2020","4.34","4.64","4.66","4.34","20.37M","-6.87%"
"Aug 30, 2020","4.66","4.88","4.90","4.58","28.51M","-4.12%"
"Aug 23, 2020","4.86","4.64","5.00","4.48","58.06M","5.65%"
