"วันเดือนปี","ล่าสุด","ราคาเปิด","สูงสุด","ต่ำสุด","ปริมาณ","% เปลี่ยน"
"Apr 25, 2021","14.60","15.10","15.90","14.60","6.26M","-2.67%"
"Apr 18, 2021","15.00","13.70","15.70","13.20","217.25M","13.64%"
"Apr 11, 2021","13.20","11.70","13.20","11.00","70.90M","11.86%"
"Apr 04, 2021","11.80","12.90","12.90","11.50","74.21M","-8.53%"
"Mar 28, 2021","12.90","13.30","14.00","12.40","133.26M","-1.53%"
"Mar 21, 2021","13.10","10.70","15.20","10.60","645.03M","28.43%"
"Mar 14, 2021","10.20","8.60","10.20","8.20","227.98M","18.60%"
"Mar 07, 2021","8.60","8.25","9.00","8.25","166.37M","4.88%"
"Feb 28, 2021","8.20","7.05","8.25","6.95","183.33M","13.10%"
"Feb 21, 2021","7.25","6.80","7.65","6.75","206.66M","5.07%"
"Feb 14, 2021","6.90","6.50","7.10","6.40","150.44M","7.81%"
"Feb 07, 2021","6.40","6.05","6.40","6.05","50.96M","5.79%"
"Jan 31, 2021","6.05","5.70","6.10","5.55","38.74M","7.08%"
"Jan 24, 2021","5.65","6.10","6.20","5.40","63.94M","-6.61%"
"Jan 17, 2021","6.05","6.15","6.55","6.05","74.76M","-3.20%"
"Jan 10, 2021","6.25","6.35","6.80","6.25","150.31M","2.46%"
"Jan 03, 2021","6.10","5.40","6.65","5.30","265.53M","7.96%"
"Dec 27, 2020","5.65","5.70","5.80","5.35","128.67M","2.73%"
"Dec 20, 2020","5.50","4.90","5.60","4.46","232.66M","7.84%"
"Dec 13, 2020","5.10","4.30","5.35","4.30","214.50M","22.60%"
"Dec 06, 2020","4.16","4.22","4.32","4.16","19.43M","-2.35%"
"Nov 29, 2020","4.26","4.42","4.44","4.18","85.98M","-3.62%"
"Nov 22, 2020","4.42","3.92","4.50","3.84","202.08M","17.55%"
"Nov 15, 2020","3.76","3.14","4.06","3.04","132.70M","21.29%"
"Nov 08, 2020","3.10","2.96","3.16","2.92","24.66M","7.64%"
"Nov 01, 2020","2.88","2.76","2.94","2.76","7.73M","4.35%"
"Oct 25, 2020","2.76","2.80","2.86","2.72","8.70M","-2.13%"
"Oct 18, 2020","2.82","2.84","2.84","2.72","6.42M","-3.42%"
"Oct 11, 2020","2.92","3.06","3.08","2.90","8.05M","-4.58%"
"Oct 04, 2020","3.06","3.22","3.24","3.04","20.16M","-2.55%"
"Sep 27, 2020","3.14","3.28","3.30","3.06","47.98M","-2.48%"
"Sep 20, 2020","3.22","2.84","3.30","2.84","81.40M","14.18%"
"Sep 13, 2020","2.82","2.82","2.86","2.78","5.27M","0.00%"
"Sep 06, 2020","2.82","2.82","2.90","2.76","4.87M","-0.70%"
"Aug 30, 2020","2.84","2.90","2.92","2.82","4.89M","-1.39%"
"Aug 23, 2020","2.88","2.80","2.94","2.80","6.87M","2.86%"
"Aug 16, 2020","2.80","3.06","3.06","2.76","10.25M","-6.67%"
"Aug 09, 2020","3.00","2.98","3.08","2.96","8.84M","0.67%"
