"วันเดือนปี","ล่าสุด","ราคาเปิด","สูงสุด","ต่ำสุด","ปริมาณ","% เปลี่ยน"
"Apr 25, 2021","6.950","6.200","7.050","6.200","-","11.20%"
"Apr 18, 2021","6.250","6.100","6.600","6.050","61.06M","3.31%"
"Apr 11, 2021","6.050","6.050","6.100","5.850","8.60M","0.00%"
"Apr 04, 2021","6.050","6.200","6.200","5.900","21.76M","-2.42%"
"Mar 28, 2021","6.200","6.350","6.400","6.150","21.36M","-0.80%"
"Mar 21, 2021","6.250","6.200","6.700","6.100","83.06M","-0.79%"
"Mar 14, 2021","6.300","6.000","6.300","5.850","44.62M","5.88%"
"Mar 07, 2021","5.950","6.150","6.200","5.850","33.32M","-2.46%"
"Feb 28, 2021","6.100","6.000","6.500","5.900","48.69M","-1.61%"
"Feb 21, 2021","6.200","6.300","6.900","5.850","98.15M","-0.80%"
"Feb 14, 2021","6.250","6.200","6.450","6.000","34.98M","0.81%"
"Feb 07, 2021","6.200","6.050","6.600","5.950","63.08M","3.33%"
"Jan 31, 2021","6.000","5.950","6.300","5.900","27.53M","0.00%"
"Jan 24, 2021","6.000","6.050","6.150","5.700","40.17M","0.00%"
"Jan 17, 2021","6.000","6.250","6.550","5.900","47.56M","-4.00%"
"Jan 10, 2021","6.250","5.750","6.450","5.700","53.84M","10.62%"
"Jan 03, 2021","5.650","4.840","6.000","4.820","131.19M","15.31%"
"Dec 27, 2020","4.900","5.200","5.200","4.880","22.64M","-4.85%"
"Dec 20, 2020","5.150","4.900","5.250","4.800","53.98M","0.00%"
"Dec 13, 2020","5.150","4.900","5.300","4.800","71.02M","5.97%"
"Dec 06, 2020","4.860","5.000","5.100","4.860","25.07M","-2.80%"
"Nov 29, 2020","5.000","4.880","5.100","4.780","59.45M","2.88%"
"Nov 22, 2020","4.860","4.940","5.000","4.720","44.25M","-1.62%"
"Nov 15, 2020","4.940","4.880","5.100","4.580","81.83M","-0.40%"
"Nov 08, 2020","4.960","5.100","5.150","4.780","43.05M","-2.75%"
"Nov 01, 2020","5.100","5.200","5.450","5.000","37.75M","2.00%"
"Oct 25, 2020","5.000","5.000","5.250","4.960","25.00M","-0.99%"
"Oct 18, 2020","5.050","4.600","5.250","4.320","62.10M","7.45%"
