"วันเดือนปี","ล่าสุด","ราคาเปิด","สูงสุด","ต่ำสุด","ปริมาณ","% เปลี่ยน"
"Apr 25, 2021","12.30","11.70","12.50","11.60","70.12M","3.36%"
"Apr 18, 2021","11.90","12.10","12.50","11.20","385.03M","-2.46%"
"Apr 11, 2021","12.20","11.80","12.20","11.50","137.31M","0.83%"
"Apr 04, 2021","12.10","12.60","12.70","11.80","240.99M","-3.20%"
"Mar 28, 2021","12.50","12.60","13.20","12.50","480.88M","0.81%"
"Mar 21, 2021","12.40","11.30","12.60","11.20","700.16M","10.71%"
"Mar 14, 2021","11.20","11.00","11.50","10.90","256.41M","2.75%"
"Mar 07, 2021","10.90","11.30","11.50","10.80","229.82M","-2.68%"
"Feb 28, 2021","11.20","11.30","11.80","11.20","384.08M","-2.61%"
"Feb 21, 2021","11.50","11.30","11.60","10.70","370.36M","1.77%"
"Feb 14, 2021","11.30","12.10","12.40","11.20","497.08M","-4.24%"
"Feb 07, 2021","11.80","10.90","12.00","10.80","547.06M","9.26%"
"Jan 31, 2021","10.80","10.40","11.30","10.40","583.91M","3.85%"
"Jan 24, 2021","10.40","10.50","11.40","10.20","613.99M","0.00%"
"Jan 17, 2021","10.40","9.95","11.00","9.80","619.34M","4.00%"
"Jan 10, 2021","10.00","9.80","10.40","9.60","592.17M","4.17%"
"Jan 03, 2021","9.60","10.70","11.70","9.50","1.13B","-12.73%"
"Dec 27, 2020","11.00","11.50","11.50","10.80","471.06M","-3.51%"
"Dec 20, 2020","11.40","10.80","11.60","10.30","1.23B","0.88%"
"Dec 13, 2020","11.30","9.10","11.40","8.90","1.16B","26.26%"
"Dec 06, 2020","8.95","9.30","9.55","8.85","328.47M","-3.76%"
"Nov 29, 2020","9.30","8.65","9.30","8.45","582.89M","6.29%"
"Nov 22, 2020","8.75","8.30","9.00","7.90","833.82M","5.42%"
"Nov 15, 2020","8.30","7.40","8.45","7.15","621.30M","12.93%"
"Nov 08, 2020","7.35","6.85","7.45","6.85","417.37M","7.30%"
"Nov 01, 2020","6.85","6.65","7.20","6.65","539.74M","4.58%"
"Oct 25, 2020","6.55","6.55","7.10","6.45","552.85M","1.55%"
"Oct 18, 2020","6.45","6.25","6.65","6.10","212.03M","1.57%"
"Oct 11, 2020","6.35","6.45","6.75","6.25","295.83M","-0.78%"
"Oct 04, 2020","6.40","6.45","6.70","6.20","431.79M","0.00%"
"Sep 27, 2020","6.40","5.85","6.45","5.70","471.50M","11.30%"
"Sep 20, 2020","5.75","6.15","6.40","5.65","473.47M","-7.26%"
"Sep 13, 2020","6.20","5.60","6.20","5.40","180.23M","10.71%"
"Sep 06, 2020","5.60","5.75","5.80","5.45","90.77M","-2.61%"
"Aug 30, 2020","5.75","5.85","5.85","5.60","99.01M","-0.86%"
"Aug 23, 2020","5.80","5.30","5.90","5.20","174.24M","10.48%"
"Aug 16, 2020","5.25","5.55","5.55","5.15","86.95M","-4.55%"
"Aug 09, 2020","5.50","5.55","5.70","5.45","83.46M","-0.90%"
"Aug 02, 2020","5.55","5.55","5.75","5.40","135.54M","0.00%"
"Jul 26, 2020","5.55","5.90","5.95","5.25","137.05M","-6.72%"
"Jul 19, 2020","5.95","5.95","6.25","5.80","139.46M","-0.83%"
"Jul 12, 2020","6.00","6.05","6.10","5.75","141.96M","0.00%"
"Jul 05, 2020","6.00","6.40","6.55","5.95","226.74M","-4.76%"
"Jun 28, 2020","6.30","6.10","6.35","5.90","236.82M","4.13%"
"Jun 21, 2020","6.05","6.50","6.55","5.95","164.47M","-8.33%"
"Jun 14, 2020","6.60","6.25","6.60","5.90","306.94M","3.94%"
"Jun 07, 2020","6.35","7.15","7.25","6.15","413.21M","-9.29%"
"May 31, 2020","7.00","6.30","7.00","6.20","584.49M","12.00%"
"May 24, 2020","6.25","7.25","7.45","6.00","883.03M","-13.19%"
"May 17, 2020","7.20","6.60","7.70","6.55","779.32M","11.63%"
"May 10, 2020","6.45","5.55","6.65","5.50","772.83M","17.27%"
"May 03, 2020","5.50","5.80","5.85","5.40","112.98M","-5.98%"
"Apr 26, 2020","5.85","5.60","5.85","5.45","123.48M","5.41%"
"Apr 19, 2020","5.55","5.60","5.80","5.35","165.39M","-0.89%"
"Apr 12, 2020","5.60","6.15","6.60","5.50","247.03M","-8.20%"
"Apr 05, 2020","6.10","6.00","6.30","5.85","167.36M","6.09%"
"Mar 29, 2020","5.75","5.10","6.00","5.00","187.99M","9.52%"
