"วันเดือนปี","ล่าสุด","ราคาเปิด","สูงสุด","ต่ำสุด","ปริมาณ","% เปลี่ยน"
"Apr 25, 2021","25.75","24.40","25.75","24.40","4.61M","5.10%"
"Apr 18, 2021","24.50","24.90","25.50","24.30","19.11M","-1.61%"
"Apr 11, 2021","24.90","24.90","24.90","23.90","16.58M","-0.40%"
"Apr 04, 2021","25.00","26.00","26.00","24.70","19.82M","-3.85%"
"Mar 28, 2021","26.00","26.75","27.00","25.25","24.19M","-0.95%"
"Mar 21, 2021","26.25","27.50","27.50","25.50","22.64M","-4.55%"
"Mar 14, 2021","27.50","28.00","28.25","26.25","24.43M","-0.90%"
"Mar 07, 2021","27.75","28.75","29.00","27.00","29.00M","-1.77%"
"Feb 28, 2021","28.25","28.75","29.50","27.50","25.94M","-3.42%"
"Feb 21, 2021","29.25","28.25","29.75","26.75","38.02M","4.46%"
"Feb 14, 2021","28.00","26.25","29.75","25.75","103.66M","7.69%"
"Feb 07, 2021","26.00","26.00","26.50","25.25","31.11M","0.00%"
"Jan 31, 2021","26.00","24.40","26.25","24.30","66.01M","7.88%"
"Jan 24, 2021","24.10","24.60","25.25","23.50","52.44M","-1.23%"
"Jan 17, 2021","24.40","25.50","27.50","24.30","65.53M","-6.15%"
"Jan 10, 2021","26.00","25.00","27.50","24.20","107.32M","2.97%"
"Jan 03, 2021","25.25","20.10","26.50","20.00","117.12M","22.57%"
"Dec 27, 2020","20.60","20.70","20.80","19.90","8.89M","0.49%"
"Dec 20, 2020","20.50","20.60","21.20","19.40","23.80M","-5.96%"
"Dec 13, 2020","21.80","21.80","22.10","20.80","19.82M","0.00%"
"Dec 06, 2020","21.80","20.60","22.00","20.40","16.50M","5.83%"
"Nov 29, 2020","20.60","19.80","21.20","19.20","28.39M","4.04%"
"Nov 22, 2020","19.80","18.80","20.30","18.70","25.89M","5.88%"
"Nov 15, 2020","18.70","17.60","18.90","17.40","19.05M","7.47%"
"Nov 08, 2020","17.40","15.30","17.40","15.20","26.07M","15.23%"
"Nov 01, 2020","15.10","14.50","15.60","14.30","13.06M","4.14%"
"Oct 25, 2020","14.50","14.90","15.30","14.40","10.92M","-2.03%"
"Oct 18, 2020","14.80","14.70","15.10","14.20","14.06M","-0.67%"
"Oct 11, 2020","14.90","15.50","16.00","14.80","8.99M","-3.87%"
"Oct 04, 2020","15.50","14.80","15.80","14.60","12.54M","6.16%"
"Sep 27, 2020","14.60","15.10","15.80","14.60","9.57M","-3.95%"
"Sep 20, 2020","15.20","16.80","16.90","15.10","6.64M","-8.98%"
"Sep 13, 2020","16.70","16.90","17.00","16.50","5.37M","-1.76%"
"Sep 06, 2020","17.00","17.30","17.40","16.80","3.63M","-1.73%"
"Aug 30, 2020","17.30","17.90","18.20","17.30","6.69M","-3.35%"
