"วันเดือนปี","ล่าสุด","ราคาเปิด","สูงสุด","ต่ำสุด","ปริมาณ","% เปลี่ยน"
"Apr 25, 2021","18.10","17.80","18.50","17.80","-","0.56%"
"Apr 18, 2021","18.00","18.30","19.10","17.90","28.67M","-1.64%"
"Apr 11, 2021","18.30","19.10","19.20","18.00","17.14M","-4.69%"
"Apr 04, 2021","19.20","20.10","20.20","19.00","34.36M","-4.48%"
"Mar 28, 2021","20.10","20.20","20.60","19.70","59.95M","0.50%"
"Mar 21, 2021","20.00","19.00","20.60","18.80","91.98M","5.82%"
"Mar 14, 2021","18.90","19.60","19.70","18.70","34.70M","-3.08%"
"Mar 07, 2021","19.50","19.40","19.60","18.60","53.13M","1.04%"
"Feb 28, 2021","19.30","18.90","19.70","18.30","70.63M","2.12%"
"Feb 21, 2021","18.90","20.30","20.40","18.50","58.13M","-7.80%"
"Feb 14, 2021","20.50","20.70","21.60","19.90","75.27M","-0.97%"
"Feb 07, 2021","20.70","19.40","21.00","19.00","84.04M","8.38%"
"Jan 31, 2021","19.10","17.20","19.20","17.10","136.46M","11.70%"
"Jan 24, 2021","17.10","15.70","18.30","15.50","80.83M","8.92%"
"Jan 17, 2021","15.70","15.90","16.20","15.50","12.52M","-1.26%"
"Jan 10, 2021","15.90","15.90","16.40","15.80","15.17M","0.00%"
"Jan 03, 2021","15.90","14.80","16.70","14.80","33.25M","5.30%"
"Dec 27, 2020","15.10","16.10","16.10","14.80","33.47M","-5.62%"
"Dec 20, 2020","16.00","16.60","16.90","15.40","23.56M","-6.43%"
"Dec 13, 2020","17.10","17.30","17.50","16.70","26.47M","-0.58%"
"Dec 06, 2020","17.20","16.50","17.60","16.50","24.89M","4.88%"
"Nov 29, 2020","16.40","16.50","16.70","15.70","45.20M","-2.38%"
"Nov 22, 2020","16.80","15.90","17.30","15.70","35.64M","5.66%"
"Nov 15, 2020","15.90","14.60","16.20","14.30","37.53M","9.66%"
"Nov 08, 2020","14.50","14.00","14.70","13.80","43.68M","5.84%"
"Nov 01, 2020","13.70","13.30","14.20","13.10","29.83M","3.01%"
"Oct 25, 2020","13.30","13.70","13.80","13.10","11.37M","-3.62%"
"Oct 18, 2020","13.80","13.30","13.80","13.00","8.75M","2.99%"
"Oct 11, 2020","13.40","13.30","13.90","13.10","13.33M","2.29%"
"Oct 04, 2020","13.10","13.10","13.60","13.10","10.07M","0.00%"
"Sep 27, 2020","13.10","13.30","13.50","13.00","12.09M","-0.76%"
"Sep 20, 2020","13.20","14.20","14.40","13.20","10.20M","-6.38%"
"Sep 13, 2020","14.10","13.90","14.10","13.50","10.43M","1.44%"
"Sep 06, 2020","13.90","14.30","14.50","13.90","7.48M","-2.80%"
"Aug 30, 2020","14.30","14.60","14.80","14.00","12.71M","-0.69%"
"Aug 23, 2020","14.40","13.70","14.70","13.60","12.45M","5.88%"
"Aug 16, 2020","13.60","14.80","14.90","13.60","13.34M","-8.11%"
"Aug 09, 2020","14.80","14.70","15.20","14.70","5.43M","0.68%"
"Aug 02, 2020","14.70","15.20","15.50","14.70","12.24M","-2.65%"
"Jul 26, 2020","15.10","16.00","16.20","14.90","8.63M","-5.03%"
"Jul 19, 2020","15.90","16.00","16.70","15.70","11.85M","-0.63%"
"Jul 12, 2020","16.00","16.40","16.40","15.50","14.31M","-1.23%"
"Jul 05, 2020","16.20","16.90","17.00","16.20","17.75M","-2.99%"
"Jun 28, 2020","16.70","16.40","17.50","16.10","36.87M","1.21%"
"Jun 21, 2020","16.50","17.40","17.70","16.30","10.60M","-5.17%"
"Jun 14, 2020","17.40","16.90","17.90","16.30","18.82M","1.75%"
"Jun 07, 2020","17.10","18.10","18.50","16.60","19.59M","-5.52%"
"May 31, 2020","18.10","17.60","18.30","17.30","14.08M","3.43%"
"May 24, 2020","17.50","17.00","17.50","16.80","26.21M","3.55%"
"May 17, 2020","16.90","16.00","17.50","16.00","41.50M","5.62%"
"May 10, 2020","16.00","15.40","16.80","15.40","35.80M","4.58%"
"May 03, 2020","15.30","15.30","15.60","15.00","7.03M","-1.92%"
"Apr 26, 2020","15.60","14.20","15.80","14.10","18.48M","11.43%"
"Apr 19, 2020","14.00","13.60","15.10","13.30","18.14M","3.70%"
"Apr 12, 2020","13.50","13.50","14.50","13.00","16.72M","0.75%"
"Apr 05, 2020","13.40","12.60","13.70","12.60","17.91M","8.94%"
"Mar 29, 2020","12.30","11.30","12.60","11.10","21.86M","6.96%"
"Mar 22, 2020","11.50","11.30","11.80","10.20","27.14M","-2.54%"
"Mar 15, 2020","11.80","11.30","11.90","10.00","39.48M","0.85%"
"Mar 08, 2020","11.70","12.40","13.40","10.40","34.05M","-10.00%"
"Mar 01, 2020","13.00","11.70","13.10","11.20","28.02M","12.07%"
"Feb 23, 2020","11.60","13.60","13.70","11.20","55.01M","-16.55%"
"Feb 16, 2020","13.90","15.50","15.60","13.80","26.69M","-10.90%"
"Feb 09, 2020","15.60","15.50","15.90","15.50","7.73M","0.65%"
"Feb 02, 2020","15.50","14.80","15.60","14.50","17.10M","4.73%"
"Jan 26, 2020","14.80","16.00","16.20","14.80","19.16M","-9.76%"
"Jan 19, 2020","16.40","17.40","17.40","16.20","19.01M","-5.75%"
"Jan 12, 2020","17.40","17.40","17.90","17.30","12.68M","0.00%"
"Jan 05, 2020","17.40","17.50","17.80","17.00","15.78M","-1.69%"
"Dec 29, 2019","17.70","17.70","18.10","17.50","5.35M","0.57%"
"Dec 22, 2019","17.60","17.50","17.90","17.30","9.38M","1.15%"
"Dec 15, 2019","17.40","17.20","18.10","16.90","16.45M","1.16%"
"Dec 08, 2019","17.20","17.30","17.40","16.90","7.54M","0.00%"
"Dec 01, 2019","17.20","17.50","17.70","17.10","6.65M","-2.27%"
"Nov 24, 2019","17.60","17.90","18.40","17.30","14.76M","-1.68%"
"Nov 17, 2019","17.90","18.50","18.80","17.20","12.47M","-3.24%"
"Nov 10, 2019","18.50","18.60","18.90","18.20","7.33M","-0.54%"
"Nov 03, 2019","18.60","17.60","18.80","17.60","12.88M","6.29%"
"Oct 27, 2019","17.50","18.00","18.00","17.40","11.64M","-2.23%"
"Oct 20, 2019","17.90","18.50","18.70","17.70","9.53M","-3.76%"
"Oct 13, 2019","18.60","18.50","19.00","18.30","13.13M","0.54%"
"Oct 06, 2019","18.50","18.70","19.10","18.00","22.89M","-1.07%"
"Sep 29, 2019","18.70","19.20","19.30","18.50","9.90M","-2.60%"
"Sep 22, 2019","19.20","19.20","19.50","18.70","16.29M","0.00%"
"Sep 15, 2019","19.20","19.70","20.10","19.10","18.69M","-2.04%"
"Sep 08, 2019","19.60","20.40","20.60","19.50","19.95M","-3.45%"
"Sep 01, 2019","20.30","19.80","20.40","19.60","20.15M","2.53%"
"Aug 25, 2019","19.80","19.30","20.10","18.90","24.69M","1.54%"
"Aug 18, 2019","19.50","19.70","20.20","19.30","19.71M","-0.51%"
"Aug 11, 2019","19.60","20.80","20.90","19.30","12.98M","-5.77%"
"Aug 04, 2019","20.80","21.80","22.10","20.70","14.22M","-5.02%"
"Jul 28, 2019","21.90","22.70","22.80","21.70","9.76M","-3.52%"
"Jul 21, 2019","22.70","22.00","22.70","21.80","22.64M","2.71%"
"Jul 14, 2019","22.10","21.50","22.30","21.50","15.89M","2.79%"
"Jul 07, 2019","21.50","22.00","22.30","21.10","29.09M","-2.71%"
"Jun 30, 2019","22.10","21.60","23.20","21.30","59.22M","2.79%"
