"วันเดือนปี","ล่าสุด","ราคาเปิด","สูงสุด","ต่ำสุด","ปริมาณ","% เปลี่ยน"
"Apr 25, 2021","20.10","19.90","20.30","19.70","9.51M","1.01%"
"Apr 18, 2021","19.90","20.20","20.90","19.80","82.30M","-1.00%"
"Apr 11, 2021","20.10","20.30","20.40","19.60","38.73M","-1.47%"
"Apr 04, 2021","20.40","20.80","20.90","19.90","74.55M","-1.92%"
"Mar 28, 2021","20.80","20.60","21.10","20.40","106.41M","1.46%"
"Mar 21, 2021","20.50","20.10","20.90","20.00","163.72M","2.50%"
"Mar 14, 2021","20.00","21.00","21.10","19.70","135.07M","-3.85%"
"Mar 07, 2021","20.80","21.50","21.90","20.50","210.22M","-0.95%"
"Feb 28, 2021","21.00","19.00","21.90","19.00","345.89M","8.25%"
"Feb 21, 2021","19.40","19.50","19.60","18.10","171.37M","-0.51%"
"Feb 14, 2021","19.50","18.90","20.10","18.20","399.59M","3.72%"
"Feb 07, 2021","18.80","18.30","18.90","18.00","208.77M","4.44%"
"Jan 31, 2021","18.00","17.20","18.00","17.00","109.86M","4.65%"
"Jan 24, 2021","17.20","17.20","17.80","16.90","86.47M","0.58%"
"Jan 17, 2021","17.10","17.20","18.20","17.00","193.28M","-0.58%"
"Jan 10, 2021","17.20","16.80","17.40","16.40","156.09M","2.99%"
"Jan 03, 2021","16.70","15.60","17.40","15.50","124.46M","5.03%"
"Dec 27, 2020","15.90","16.50","16.70","15.80","37.94M","-3.64%"
"Dec 20, 2020","16.50","16.70","17.00","16.00","72.10M","-5.17%"
"Dec 13, 2020","17.40","17.70","17.80","16.90","109.29M","-1.14%"
"Dec 06, 2020","17.60","18.10","18.20","17.60","47.06M","-2.76%"
"Nov 29, 2020","18.10","17.90","18.50","17.80","102.37M","1.69%"
"Nov 22, 2020","17.80","18.90","19.20","17.30","144.13M","-5.82%"
"Nov 15, 2020","18.90","18.70","19.20","18.50","84.65M","1.61%"
"Nov 08, 2020","18.60","19.30","19.70","18.30","88.26M","-3.13%"
"Nov 01, 2020","19.20","19.00","19.60","18.50","65.10M","1.05%"
