"วันเดือนปี","ล่าสุด","ราคาเปิด","สูงสุด","ต่ำสุด","ปริมาณ","% เปลี่ยน"
"Apr 25, 2021","10.20","9.75","10.40","9.50","44.10M","4.08%"
"Apr 18, 2021","9.80","9.40","9.90","9.30","122.62M","7.69%"
"Apr 11, 2021","9.10","9.10","9.20","8.50","29.67M","-1.09%"
"Apr 04, 2021","9.20","9.75","9.80","9.05","48.91M","-4.66%"
"Mar 28, 2021","9.65","9.70","10.10","9.65","89.88M","-0.52%"
"Mar 21, 2021","9.70","9.80","10.00","9.40","106.52M","-1.02%"
"Mar 14, 2021","9.80","10.70","10.90","9.70","153.84M","-5.77%"
"Mar 07, 2021","10.40","10.20","10.80","9.65","181.97M","1.96%"
"Feb 28, 2021","10.20","8.65","10.20","8.55","188.87M","16.57%"
"Feb 21, 2021","8.75","9.00","9.05","8.50","22.89M","-2.78%"
"Feb 14, 2021","9.00","9.05","9.20","8.90","46.45M","-0.55%"
"Feb 07, 2021","9.05","8.50","9.25","8.50","84.14M","7.10%"
"Jan 31, 2021","8.45","7.95","8.70","7.80","147.14M","6.96%"
"Jan 24, 2021","7.90","7.70","8.05","7.65","35.26M","2.60%"
"Jan 17, 2021","7.70","8.00","8.05","7.50","56.50M","-3.14%"
"Jan 10, 2021","7.95","7.90","8.50","7.80","69.97M","0.63%"
"Jan 03, 2021","7.90","7.90","8.25","7.80","32.92M","-1.86%"
"Dec 27, 2020","8.05","8.25","8.40","7.85","28.44M","-1.23%"
"Dec 20, 2020","8.15","7.45","8.35","7.45","117.84M","5.16%"
"Dec 13, 2020","7.75","6.75","8.00","6.65","83.93M","13.97%"
"Dec 06, 2020","6.80","6.85","7.20","6.70","35.57M","-0.73%"
"Nov 29, 2020","6.85","6.20","6.95","6.00","61.78M","11.38%"
"Nov 22, 2020","6.15","5.75","6.35","5.75","82.40M","7.89%"
"Nov 15, 2020","5.70","4.76","5.75","4.72","67.83M","20.76%"
"Nov 08, 2020","4.72","4.70","4.82","4.64","18.51M","1.72%"
"Nov 01, 2020","4.64","4.62","4.80","4.56","7.68M","0.43%"
"Oct 25, 2020","4.62","4.72","4.78","4.60","5.57M","-2.94%"
"Oct 18, 2020","4.76","4.86","4.86","4.60","15.80M","-2.46%"
"Oct 11, 2020","4.88","5.05","5.20","4.86","26.98M","-2.40%"
"Oct 04, 2020","5.00","5.05","5.45","4.98","114.60M","-0.99%"
"Sep 27, 2020","5.05","4.86","5.15","4.86","30.71M","4.34%"
"Sep 20, 2020","4.84","5.05","5.20","4.80","20.15M","-4.16%"
"Sep 13, 2020","5.05","4.98","5.40","4.72","72.33M","1.81%"
"Sep 06, 2020","4.96","4.62","5.20","4.60","60.13M","6.44%"
"Aug 30, 2020","4.66","4.62","4.72","4.52","13.00M","0.87%"
"Aug 23, 2020","4.62","4.38","4.66","4.36","19.21M","6.45%"
"Aug 16, 2020","4.34","4.46","4.50","4.18","15.74M","-2.69%"
"Aug 09, 2020","4.46","4.50","4.62","4.46","8.63M","-0.89%"
"Aug 02, 2020","4.50","4.60","4.62","4.42","43.14M","-1.75%"
"Jul 26, 2020","4.58","4.78","4.84","4.46","22.02M","-4.18%"
"Jul 19, 2020","4.78","5.05","5.35","4.74","57.98M","-6.27%"
"Jul 12, 2020","5.10","5.40","5.40","5.00","51.97M","-5.56%"
"Jul 05, 2020","5.40","5.05","5.65","4.96","121.39M","8.43%"
"Jun 28, 2020","4.98","5.00","5.50","4.88","215.41M","0.81%"
"Jun 21, 2020","4.94","4.74","5.05","4.56","114.51M","3.78%"
