"วันเดือนปี","ล่าสุด","ราคาเปิด","สูงสุด","ต่ำสุด","ปริมาณ","% เปลี่ยน"
"Apr 25, 2021","15.30","15.00","15.60","14.90","95.10K","2.00%"
"Apr 18, 2021","15.00","15.10","15.30","14.60","1.45M","-1.32%"
"Apr 11, 2021","15.20","15.40","15.40","14.80","357.60K","-1.30%"
"Apr 04, 2021","15.40","15.10","15.80","15.00","1.38M","1.99%"
"Mar 28, 2021","15.10","13.30","15.70","13.30","17.12M","16.15%"
"Mar 21, 2021","13.00","10.00","13.00","9.95","3.04M","28.71%"
"Mar 14, 2021","10.10","10.50","10.50","9.75","306.10K","-0.98%"
"Mar 07, 2021","10.20","9.25","11.50","9.10","1.17M","10.27%"
"Feb 28, 2021","9.25","9.20","9.45","9.15","92.60K","0.54%"
"Feb 21, 2021","9.20","9.45","9.45","9.15","65.90K","0.00%"
"Feb 14, 2021","9.20","9.10","9.45","9.10","59.30K","1.10%"
"Feb 07, 2021","9.10","9.25","9.30","9.10","175.20K","-1.09%"
"Jan 31, 2021","9.20","9.10","9.35","9.10","23.50K","1.10%"
"Jan 24, 2021","9.10","9.20","9.30","9.10","62.10K","-1.62%"
"Jan 17, 2021","9.25","9.10","9.30","9.00","167.10K","0.00%"
"Jan 10, 2021","9.25","9.15","9.25","9.10","31.40K","1.09%"
"Jan 03, 2021","9.15","9.10","9.30","9.05","90.80K","0.55%"
"Dec 27, 2020","9.10","9.35","9.35","9.10","35.00K","-1.62%"
"Dec 20, 2020","9.25","9.25","9.40","9.10","106.60K","-1.07%"
"Dec 13, 2020","9.35","9.25","9.50","9.25","88.70K","1.08%"
"Dec 06, 2020","9.25","9.15","9.50","9.10","156.00K","1.65%"
"Nov 29, 2020","9.10","9.10","9.40","9.05","556.60K","-0.55%"
"Nov 22, 2020","9.15","9.10","9.35","9.00","250.40K","1.67%"
"Nov 15, 2020","9.00","9.00","9.15","8.85","138.20K","-1.10%"
"Nov 08, 2020","9.10","9.00","9.30","8.85","189.60K","1.11%"
"Nov 01, 2020","9.00","9.15","9.15","8.65","125.00K","-1.10%"
"Oct 25, 2020","9.10","9.50","9.50","9.00","7.70K","-3.19%"
"Oct 18, 2020","9.40","9.35","9.60","9.20","15.20K","-1.57%"
"Oct 11, 2020","9.55","9.50","9.65","9.30","4.30K","-0.52%"
"Oct 04, 2020","9.60","9.35","9.60","9.35","5.90K","0.00%"
"Sep 27, 2020","9.60","9.65","9.65","9.60","6.20K","0.00%"
"Sep 20, 2020","9.60","9.65","9.75","8.95","63.10K","0.00%"
"Sep 13, 2020","9.60","9.80","10.10","9.50","37.20K","-3.52%"
"Sep 06, 2020","9.95","10.10","10.10","9.85","37.40K","-1.49%"
"Aug 30, 2020","10.10","9.75","10.30","9.70","403.70K","3.59%"
"Aug 23, 2020","9.75","9.75","9.80","9.65","60.50K","0.00%"
"Aug 16, 2020","9.75","9.75","9.75","9.60","8.30K","1.04%"
"Aug 09, 2020","9.65","9.40","9.80","9.40","23.70K","-1.53%"
"Aug 02, 2020","9.80","9.50","9.90","9.50","16.40K","0.51%"
"Jul 26, 2020","9.75","9.70","9.80","9.60","16.20K","0.00%"
"Jul 19, 2020","9.75","9.65","9.90","9.65","46.20K","0.52%"
"Jul 12, 2020","9.70","9.80","9.90","9.65","181.40K","-1.02%"
"Jul 05, 2020","9.80","9.60","9.90","9.50","266.70K","3.16%"
"Jun 28, 2020","9.50","9.45","9.95","8.85","155.10K","-2.06%"
"Jun 21, 2020","9.70","9.60","9.85","9.30","133.20K","-1.52%"
"Jun 14, 2020","9.85","8.55","11.00","8.25","508.40K","12.57%"
"Jun 07, 2020","8.75","8.65","8.80","8.50","97.00K","0.57%"
"May 31, 2020","8.70","8.80","9.05","8.25","275.80K","-1.69%"
"May 24, 2020","8.85","8.55","8.90","8.35","49.90K","1.14%"
"May 17, 2020","8.75","8.95","8.95","7.00","79.50K","6.71%"
"May 10, 2020","8.20","8.05","8.45","7.55","76.20K","2.50%"
"May 03, 2020","8.00","8.00","8.00","7.50","43.20K","0.63%"
"Apr 26, 2020","7.95","8.15","8.15","7.75","62.20K","0.00%"
"Apr 19, 2020","7.95","7.50","8.15","7.30","52.80K","6.00%"
"Apr 12, 2020","7.50","7.85","7.90","7.35","110.40K","-3.23%"
"Apr 05, 2020","7.75","8.00","8.25","7.75","77.30K","-1.27%"
"Mar 29, 2020","7.85","6.80","8.00","6.80","227.00K","12.14%"
"Mar 22, 2020","7.00","7.00","7.20","6.50","97.90K","-1.41%"
"Mar 15, 2020","7.10","6.05","9.15","5.95","47.70K","-7.79%"
"Mar 08, 2020","7.70","8.80","9.50","7.30","122.90K","-13.48%"
"Mar 01, 2020","8.90","9.15","9.15","8.60","62.70K","-0.56%"
"Feb 23, 2020","8.95","9.35","9.65","7.45","36.20K","-6.77%"
"Feb 16, 2020","9.60","9.45","9.75","9.25","10.60K","1.59%"
"Feb 09, 2020","9.45","9.50","10.10","9.30","12.80K","0.53%"
"Feb 02, 2020","9.40","9.90","10.00","9.40","21.30K","-5.05%"
"Jan 26, 2020","9.90","10.20","10.20","9.40","38.40K","2.59%"
"Jan 19, 2020","9.65","9.85","10.10","9.65","77.50K","-3.50%"
"Jan 12, 2020","10.00","10.30","10.30","9.90","54.00K","-2.91%"
"Jan 05, 2020","10.30","10.10","10.30","9.85","108.50K","1.98%"
"Dec 29, 2019","10.10","10.30","10.30","10.00","35.20K","-1.94%"
"Dec 22, 2019","10.30","9.65","10.30","9.65","9.90K","3.00%"
"Dec 15, 2019","10.00","9.90","10.40","9.15","23.70K","-0.99%"
"Dec 08, 2019","10.10","9.80","10.10","9.80","16.80K","0.00%"
"Dec 01, 2019","10.10","10.20","10.20","9.80","17.40K","-1.94%"
"Nov 24, 2019","10.30","10.00","10.30","10.00","7.20K","1.98%"
"Nov 17, 2019","10.10","9.90","10.30","9.80","27.30K","1.00%"
"Nov 10, 2019","10.00","10.30","10.40","9.80","27.10K","-3.85%"
"Nov 03, 2019","10.40","11.20","11.20","10.00","28.20K","0.00%"
"Oct 27, 2019","10.40","10.50","11.00","10.40","12.60K","-0.95%"
"Oct 20, 2019","10.50","10.40","11.00","10.40","232.60K","-1.87%"
"Oct 13, 2019","10.70","11.20","11.20","9.85","47.40K","-3.60%"
"Oct 06, 2019","11.10","11.10","11.20","11.00","230.00K","1.83%"
"Sep 29, 2019","10.90","11.30","11.50","10.90","338.00K","-4.39%"
"Sep 22, 2019","11.40","11.00","11.70","11.00","865.10K","3.64%"
"Sep 15, 2019","11.00","11.30","11.30","10.90","64.50K","-2.65%"
"Sep 08, 2019","11.30","10.90","11.40","10.90","435.70K","3.67%"
"Sep 01, 2019","10.90","11.00","11.10","10.90","193.90K","0.00%"
"Aug 25, 2019","10.90","11.50","11.50","9.05","315.40K","-5.22%"
"Aug 18, 2019","11.50","11.20","11.60","11.20","144.10K","2.68%"
"Aug 11, 2019","11.20","11.20","11.40","11.20","152.10K","0.00%"
"Aug 04, 2019","11.20","11.40","11.50","11.10","220.50K","-1.75%"
"Jul 28, 2019","11.40","11.50","11.60","11.30","271.70K","-0.87%"
"Jul 21, 2019","11.50","11.30","11.60","11.20","376.50K","2.68%"
"Jul 14, 2019","11.20","11.70","11.70","11.10","427.60K","-3.45%"
"Jul 07, 2019","11.60","10.90","12.00","10.90","530.40K","6.42%"
"Jun 30, 2019","10.90","10.10","11.00","10.10","401.20K","6.86%"
"Jun 23, 2019","10.20","10.30","10.60","9.80","504.50K","5.15%"
"Jun 16, 2019","9.70","9.40","9.75","9.20","1.22M","2.65%"
"Jun 09, 2019","9.45","9.40","9.50","9.25","94.20K","0.53%"
"Jun 02, 2019","9.40","9.15","9.45","9.05","169.40K","2.73%"
"May 26, 2019","9.15","9.00","9.15","8.95","73.50K","1.10%"
"May 19, 2019","9.05","8.95","9.05","8.95","65.00K","0.56%"
"May 12, 2019","9.00","9.00","9.20","8.65","387.30K","-0.55%"
"May 05, 2019","9.05","8.20","9.05","8.15","138.20K","9.70%"
