"วันเดือนปี","ล่าสุด","ราคาเปิด","สูงสุด","ต่ำสุด","ปริมาณ","% เปลี่ยน"
"Apr 25, 2021","10.70","11.00","11.10","10.60","-","-2.73%"
"Apr 18, 2021","11.00","10.60","11.40","10.50","55.06M","4.76%"
"Apr 11, 2021","10.50","10.90","11.20","10.20","38.30M","0.96%"
"Apr 04, 2021","10.40","11.30","11.40","10.40","44.58M","-7.14%"
"Mar 28, 2021","11.20","11.00","11.70","11.00","100.88M","1.82%"
"Mar 21, 2021","11.00","11.40","11.60","11.00","77.64M","-1.79%"
"Mar 14, 2021","11.20","11.40","12.00","10.80","163.46M","-3.45%"
"Mar 07, 2021","11.60","9.35","12.70","9.25","666.12M","26.09%"
"Feb 28, 2021","9.20","8.75","9.80","8.65","118.65M","5.14%"
"Feb 21, 2021","8.75","9.05","9.05","8.50","39.79M","-1.69%"
"Feb 14, 2021","8.90","9.00","9.10","8.45","58.22M","-1.11%"
"Feb 07, 2021","9.00","9.10","9.20","8.90","50.58M","-0.55%"
"Jan 31, 2021","9.05","8.95","9.45","8.90","151.18M","2.84%"
"Jan 24, 2021","8.80","8.10","9.40","8.00","172.24M","8.64%"
"Jan 17, 2021","8.10","8.55","8.60","8.05","45.68M","-5.26%"
"Jan 10, 2021","8.55","8.30","8.80","8.25","87.66M","4.27%"
"Jan 03, 2021","8.20","7.65","8.45","7.65","51.26M","6.49%"
"Dec 27, 2020","7.70","7.90","8.00","7.65","13.95M","-2.53%"
"Dec 20, 2020","7.90","7.90","8.05","7.35","41.73M","-3.07%"
"Dec 13, 2020","8.15","8.75","8.80","8.05","74.27M","-6.32%"
"Dec 06, 2020","8.70","8.70","9.00","8.65","37.48M","0.00%"
"Nov 29, 2020","8.70","9.10","9.15","8.60","46.71M","-3.87%"
"Nov 22, 2020","9.05","8.95","9.15","8.60","56.53M","1.69%"
"Nov 15, 2020","8.90","9.70","9.75","8.75","73.44M","-7.77%"
"Nov 08, 2020","9.65","9.25","9.70","8.35","76.11M","5.46%"
"Nov 01, 2020","9.15","9.05","9.30","8.95","53.22M","1.67%"
"Oct 25, 2020","9.00","9.05","9.40","8.90","37.23M","-1.10%"
"Oct 18, 2020","9.10","9.45","9.55","8.95","29.14M","-5.21%"
"Oct 11, 2020","9.60","9.65","10.30","9.10","64.17M","0.52%"
"Oct 04, 2020","9.55","10.30","10.80","9.40","90.70M","-5.45%"
"Sep 27, 2020","10.10","10.60","10.70","8.70","129.63M","-3.81%"
"Sep 20, 2020","10.50","9.50","11.90","9.45","112.01M","10.53%"
"Sep 13, 2020","9.50","8.10","10.10","8.05","121.03M","18.01%"
"Sep 06, 2020","8.05","6.30","8.65","6.25","132.39M","26.77%"
"Aug 30, 2020","6.35","6.30","6.50","6.10","27.67M","0.79%"
"Aug 23, 2020","6.30","6.10","6.60","6.05","52.05M","4.13%"
"Aug 16, 2020","6.05","6.00","6.20","5.80","25.99M","1.68%"
"Aug 09, 2020","5.95","5.80","6.30","5.75","35.46M","2.59%"
"Aug 02, 2020","5.80","5.70","6.10","5.65","34.17M","2.65%"
"Jul 26, 2020","5.65","6.10","6.15","5.45","26.06M","-7.38%"
"Jul 19, 2020","6.10","5.80","6.50","5.70","87.21M","4.27%"
"Jul 12, 2020","5.85","6.15","6.30","5.45","38.13M","-4.10%"
"Jul 05, 2020","6.10","5.60","6.20","5.45","54.62M","9.91%"
"Jun 28, 2020","5.55","5.50","5.65","5.30","24.02M","0.91%"
"Jun 21, 2020","5.50","5.75","6.25","5.35","53.01M","-3.51%"
"Jun 14, 2020","5.70","5.40","5.70","5.15","33.34M","5.56%"
"Jun 07, 2020","5.40","5.40","5.95","5.05","60.02M","0.00%"
"May 31, 2020","5.40","5.40","5.60","5.30","23.81M","1.89%"
"May 24, 2020","5.30","5.25","5.60","5.15","49.66M","2.91%"
"May 17, 2020","5.15","4.90","5.30","4.86","53.12M","5.10%"
"May 10, 2020","4.90","4.02","4.90","4.02","69.92M","21.29%"
"May 03, 2020","4.04","4.34","4.40","3.98","8.67M","-6.91%"
"Apr 26, 2020","4.34","4.16","4.50","4.06","32.43M","5.34%"
"Apr 19, 2020","4.12","3.86","4.22","3.82","41.52M","7.85%"
"Apr 12, 2020","3.82","3.84","3.98","3.64","13.35M","-1.04%"
"Apr 05, 2020","3.86","3.48","3.88","3.44","20.37M","11.56%"
"Mar 29, 2020","3.46","3.50","3.58","3.38","11.61M","-1.14%"
"Mar 22, 2020","3.50","3.46","3.56","3.30","6.63M","-5.41%"
"Mar 15, 2020","3.70","3.42","3.80","3.28","12.81M","14.20%"
"Mar 08, 2020","3.24","3.80","3.86","2.97","13.59M","-16.49%"
"Mar 01, 2020","3.88","3.57","3.95","3.48","21.97M","8.99%"
"Feb 23, 2020","3.56","4.18","4.21","3.52","15.71M","-14.83%"
"Feb 16, 2020","4.18","4.44","4.53","4.09","15.21M","-5.22%"
"Feb 09, 2020","4.41","4.21","4.62","4.18","28.84M","-6.96%"
