"วันเดือนปี","ล่าสุด","ราคาเปิด","สูงสุด","ต่ำสุด","ปริมาณ","% เปลี่ยน"
"Apr 25, 2021","5.05","5.05","5.20","5.00","519.90K","1.00%"
"Apr 18, 2021","5.00","5.10","5.40","5.00","2.12M","-1.96%"
"Apr 11, 2021","5.10","5.20","5.20","4.94","922.40K","-2.86%"
"Apr 04, 2021","5.25","5.40","5.55","5.10","1.54M","-4.55%"
"Mar 28, 2021","5.50","5.85","5.90","5.50","2.43M","-6.78%"
"Mar 21, 2021","5.90","5.50","6.35","5.30","11.78M","7.27%"
"Mar 14, 2021","5.50","5.80","7.00","5.25","27.33M","-4.35%"
"Mar 07, 2021","5.75","3.70","6.25","3.70","35.85M","53.74%"
"Feb 28, 2021","3.74","3.68","3.82","3.64","1.07M","3.31%"
"Feb 21, 2021","3.62","3.82","3.82","3.50","1.58M","-4.74%"
"Feb 14, 2021","3.80","3.88","3.92","3.76","539.00K","-2.56%"
"Feb 07, 2021","3.90","3.90","4.02","3.80","727.70K","0.00%"
"Jan 31, 2021","3.90","3.98","3.98","3.88","549.20K","-1.02%"
"Jan 24, 2021","3.94","3.96","4.10","3.86","742.10K","-0.51%"
"Jan 17, 2021","3.96","4.14","4.14","3.96","950.30K","-4.35%"
"Jan 10, 2021","4.14","4.10","4.14","4.04","475.00K","1.97%"
"Jan 03, 2021","4.06","4.20","4.20","4.04","887.90K","-4.25%"
"Dec 27, 2020","4.24","4.30","4.50","4.10","1.95M","1.44%"
"Dec 20, 2020","4.18","4.38","4.48","4.10","2.53M","-5.86%"
"Dec 13, 2020","4.44","4.66","4.68","4.28","3.65M","-5.53%"
"Dec 06, 2020","4.70","4.80","5.20","4.66","3.84M","-2.49%"
"Nov 29, 2020","4.82","5.10","5.80","4.60","23.18M","0.42%"
"Nov 22, 2020","4.80","2.82","4.80","2.82","23.33M","70.21%"
"Nov 15, 2020","2.82","2.86","2.86","2.78","2.72M","0.71%"
"Nov 08, 2020","2.80","2.80","3.56","2.76","1.20M","0.00%"
"Nov 01, 2020","2.80","2.80","2.86","2.74","728.50K","-0.71%"
"Oct 25, 2020","2.82","3.00","3.04","2.78","792.50K","-6.00%"
"Oct 18, 2020","3.00","3.06","3.08","3.00","366.40K","-3.23%"
"Oct 11, 2020","3.10","3.28","3.36","2.96","828.30K","-6.06%"
"Oct 04, 2020","3.30","3.70","3.72","3.26","2.51M","-10.81%"
