"วันเดือนปี","ล่าสุด","ราคาเปิด","สูงสุด","ต่ำสุด","ปริมาณ","% เปลี่ยน"
"Apr 25, 2021","6.20","6.15","6.40","6.05","-","0.00%"
"Apr 18, 2021","6.20","6.15","6.65","6.15","99.11M","1.64%"
"Apr 11, 2021","6.10","6.45","6.45","6.05","53.77M","-7.58%"
"Apr 04, 2021","6.60","7.05","7.10","6.50","89.71M","-7.04%"
"Mar 28, 2021","7.10","7.30","7.50","7.10","100.52M","-2.07%"
"Mar 21, 2021","7.25","6.90","7.50","6.85","136.40M","3.57%"
"Mar 14, 2021","7.00","7.30","7.35","6.85","84.74M","-3.45%"
"Mar 07, 2021","7.25","7.30","7.75","7.20","111.88M","0.69%"
"Feb 28, 2021","7.20","6.60","7.55","6.55","147.73M","7.46%"
"Feb 21, 2021","6.70","6.60","6.80","6.25","58.69M","2.29%"
"Feb 14, 2021","6.55","6.60","6.75","6.45","60.77M","0.00%"
"Feb 07, 2021","6.55","6.75","7.00","6.50","59.05M","-1.50%"
"Jan 31, 2021","6.65","6.30","6.75","6.30","48.04M","5.56%"
"Jan 24, 2021","6.30","6.50","6.55","6.20","40.11M","-3.08%"
"Jan 17, 2021","6.50","6.40","6.75","6.40","53.66M","0.78%"
"Jan 10, 2021","6.45","6.60","6.95","6.40","98.19M","-2.27%"
"Jan 03, 2021","6.60","6.15","6.85","6.00","68.56M","5.60%"
"Dec 27, 2020","6.25","6.50","6.75","6.20","31.27M","-2.34%"
"Dec 20, 2020","6.40","6.25","6.65","6.05","93.43M","-7.25%"
"Dec 13, 2020","6.90","6.85","7.15","6.70","74.73M","0.73%"
"Dec 06, 2020","6.85","6.80","7.25","6.70","69.61M","0.74%"
"Nov 29, 2020","6.80","6.40","6.85","6.20","180.59M","6.25%"
"Nov 22, 2020","6.40","6.25","6.50","6.00","122.99M","2.40%"
"Nov 15, 2020","6.25","6.10","6.55","6.10","88.29M","3.31%"
"Nov 08, 2020","6.05","5.55","6.15","5.50","96.64M","11.01%"
"Nov 01, 2020","5.45","5.40","5.75","5.40","69.23M","0.93%"
"Oct 25, 2020","5.40","5.30","5.55","5.25","42.97M","1.89%"
"Oct 18, 2020","5.30","5.55","5.55","5.15","88.23M","-5.36%"
"Oct 11, 2020","5.60","6.15","6.20","5.50","59.18M","-8.20%"
"Oct 04, 2020","6.10","6.05","6.45","5.85","112.17M","1.67%"
"Sep 27, 2020","6.00","5.50","6.20","5.45","131.71M","10.09%"
"Sep 20, 2020","5.45","5.55","5.70","5.40","47.85M","-0.91%"
"Sep 13, 2020","5.50","5.45","5.75","5.35","62.23M","1.85%"
"Sep 06, 2020","5.40","5.80","6.00","5.40","100.48M","-6.09%"
"Aug 30, 2020","5.75","5.60","5.85","5.40","47.51M","3.60%"
"Aug 23, 2020","5.55","5.25","6.10","5.15","121.82M","6.73%"
"Aug 16, 2020","5.20","5.60","5.65","5.20","48.77M","-7.14%"
"Aug 09, 2020","5.60","5.35","5.95","5.35","96.61M","4.67%"
"Aug 02, 2020","5.35","5.30","5.65","5.20","64.34M","0.00%"
"Jul 26, 2020","5.35","5.20","5.40","5.00","51.53M","1.90%"
"Jul 19, 2020","5.25","5.70","5.70","5.20","82.40M","-7.89%"
"Jul 12, 2020","5.70","6.30","6.35","5.50","114.31M","-8.06%"
"Jul 05, 2020","6.20","6.40","6.45","6.05","54.86M","-1.59%"
"Jun 28, 2020","6.30","5.95","6.55","5.85","139.21M","5.88%"
"Jun 21, 2020","5.95","6.20","6.55","5.80","130.86M","-4.80%"
"Jun 14, 2020","6.25","5.90","6.40","5.55","179.73M","3.31%"
"Jun 07, 2020","6.05","6.25","6.60","5.40","222.91M","-0.82%"
"May 31, 2020","6.10","5.60","6.20","5.55","122.80M","10.91%"
"May 24, 2020","5.50","5.30","6.15","5.20","245.60M","2.80%"
"May 17, 2020","5.35","5.45","5.70","5.00","118.84M","0.00%"
"May 10, 2020","5.35","5.40","5.90","5.10","219.80M","0.94%"
"May 03, 2020","5.30","4.70","5.40","4.64","228.85M","7.29%"
"Apr 26, 2020","4.94","4.54","4.96","4.24","231.85M","12.27%"
"Apr 19, 2020","4.40","4.04","4.74","3.90","389.15M","10.55%"
"Apr 12, 2020","3.98","3.92","4.54","3.70","236.21M","2.58%"
"Apr 05, 2020","3.88","3.20","4.12","3.20","192.28M","30.20%"
"Mar 29, 2020","2.98","2.86","3.08","2.70","195.28M","2.76%"
"Mar 22, 2020","2.90","2.96","3.06","2.48","247.18M","-14.71%"
"Mar 15, 2020","3.40","3.30","3.54","2.94","179.33M","-7.10%"
"Mar 08, 2020","3.66","4.40","4.62","2.96","205.47M","-25.00%"
"Mar 01, 2020","4.88","5.15","5.30","4.78","220.74M","-4.31%"
"Feb 23, 2020","5.10","5.70","5.75","4.86","124.59M","-13.56%"
