"วันเดือนปี","ล่าสุด","ราคาเปิด","สูงสุด","ต่ำสุด","ปริมาณ","% เปลี่ยน"
"Apr 25, 2021","29.00","29.00","29.25","28.50","19.30M","0.00%"
"Apr 18, 2021","29.00","29.50","30.00","28.75","220.59M","-1.69%"
"Apr 11, 2021","29.50","29.25","29.50","28.75","87.19M","0.00%"
"Apr 04, 2021","29.50","29.25","29.75","28.50","135.84M","0.85%"
"Mar 28, 2021","29.25","29.25","30.00","29.00","105.77M","0.00%"
"Mar 21, 2021","29.25","30.00","30.25","29.00","222.95M","-2.50%"
"Mar 14, 2021","30.00","30.75","30.75","29.75","202.63M","-1.64%"
"Mar 07, 2021","30.50","29.25","31.25","29.00","391.97M","5.17%"
"Feb 28, 2021","29.00","28.75","30.00","28.25","358.61M","0.87%"
"Feb 21, 2021","28.75","29.00","29.50","28.00","268.37M","-0.86%"
"Feb 14, 2021","29.00","27.25","29.25","27.00","248.48M","6.42%"
"Feb 07, 2021","27.25","27.50","28.00","27.00","122.57M","0.00%"
"Jan 31, 2021","27.25","27.25","28.00","27.00","161.44M","0.00%"
"Jan 24, 2021","27.25","28.25","28.75","27.00","192.64M","-3.54%"
"Jan 17, 2021","28.25","28.50","29.75","28.25","274.15M","-0.88%"
"Jan 10, 2021","28.50","28.25","29.00","28.00","196.90M","1.79%"
"Jan 03, 2021","28.00","26.50","29.50","26.25","374.44M","4.67%"
"Dec 27, 2020","26.75","27.25","27.25","26.25","98.70M","-0.93%"
"Dec 20, 2020","27.00","26.25","27.25","25.50","383.11M","-1.82%"
"Dec 13, 2020","27.50","28.50","28.50","26.75","288.98M","-3.51%"
"Dec 06, 2020","28.50","28.25","29.25","28.00","132.83M","0.88%"
"Nov 29, 2020","28.25","29.50","29.75","27.75","249.44M","-3.42%"
"Nov 22, 2020","29.25","29.25","30.50","28.50","303.03M","0.86%"
"Nov 15, 2020","29.00","28.00","29.00","27.25","230.20M","5.45%"
"Nov 08, 2020","27.50","27.00","28.25","27.00","262.89M","3.77%"
"Nov 01, 2020","26.50","25.50","27.25","25.25","192.83M","4.95%"
"Oct 25, 2020","25.25","25.75","26.25","25.00","116.33M","-2.88%"
"Oct 18, 2020","26.00","26.00","26.50","25.25","133.54M","-0.95%"
"Oct 11, 2020","26.25","27.50","27.75","25.75","209.56M","-4.55%"
"Oct 04, 2020","27.50","28.25","28.50","27.50","135.81M","-2.65%"
"Sep 27, 2020","28.25","28.00","28.75","27.25","159.78M","1.80%"
"Sep 20, 2020","27.75","29.75","30.00","27.25","193.50M","-7.50%"
"Sep 13, 2020","30.00","29.50","31.00","28.75","194.76M","2.56%"
"Sep 06, 2020","29.25","31.00","31.00","29.00","164.75M","-7.87%"
"Aug 30, 2020","31.75","33.50","33.75","30.75","189.04M","-5.93%"
"Aug 23, 2020","33.75","33.50","34.25","33.00","114.14M","1.50%"
"Aug 16, 2020","33.25","33.00","34.00","32.75","112.01M","0.76%"
"Aug 09, 2020","33.00","32.75","33.50","32.25","131.89M","1.54%"
"Aug 02, 2020","32.50","33.50","33.75","32.25","159.76M","-3.70%"
"Jul 26, 2020","33.75","33.00","34.25","32.50","97.28M","2.27%"
"Jul 19, 2020","33.00","34.00","35.25","32.50","269.76M","-2.94%"
"Jul 12, 2020","34.00","32.25","34.75","32.00","353.36M","7.09%"
"Jul 05, 2020","31.75","32.25","32.75","31.50","88.40M","0.00%"
"Jun 28, 2020","31.75","31.50","32.25","31.00","172.36M","0.00%"
"Jun 21, 2020","31.75","32.00","32.50","30.50","226.30M","-1.55%"
"Jun 14, 2020","32.25","30.50","32.75","29.25","287.83M","5.74%"
"Jun 07, 2020","30.50","32.75","33.75","29.75","416.84M","-7.58%"
"May 31, 2020","33.00","31.75","33.00","31.50","173.58M","4.76%"
"May 24, 2020","31.50","28.50","31.75","28.25","284.85M","11.50%"
"May 17, 2020","28.25","29.00","29.50","27.75","179.01M","-1.74%"
"May 10, 2020","28.75","27.25","29.50","27.25","210.05M","5.50%"
"May 03, 2020","27.25","27.00","27.50","26.25","80.03M","0.93%"
"Apr 26, 2020","27.00","27.75","28.25","27.00","171.14M","-1.82%"
"Apr 19, 2020","27.50","26.75","28.25","26.50","145.26M","2.80%"
"Apr 12, 2020","26.75","25.25","27.00","25.25","193.08M","7.43%"
"Apr 05, 2020","24.90","26.50","26.75","24.60","161.56M","-1.39%"
"Mar 29, 2020","25.25","23.90","26.00","23.80","204.47M","4.34%"
"Mar 22, 2020","24.20","21.80","24.80","21.50","261.92M","3.86%"
"Mar 15, 2020","23.30","21.10","25.25","19.90","396.09M","5.91%"
"Mar 08, 2020","22.00","26.50","26.75","18.70","388.40M","-20.00%"
"Mar 01, 2020","27.50","27.25","29.00","25.75","190.13M","2.80%"
"Feb 23, 2020","26.75","29.25","29.50","25.75","269.94M","-10.08%"
"Feb 16, 2020","29.75","28.75","29.75","28.00","138.73M","3.48%"
"Feb 09, 2020","28.75","29.25","29.75","28.50","136.60M","-0.86%"
"Feb 02, 2020","29.00","29.50","29.75","27.75","244.06M","-3.33%"
"Jan 26, 2020","30.00","30.50","30.50","28.75","219.03M","-1.64%"
"Jan 19, 2020","30.50","30.75","31.00","29.75","189.34M","0.00%"
