"วันเดือนปี","ล่าสุด","ราคาเปิด","สูงสุด","ต่ำสุด","ปริมาณ","% เปลี่ยน"
"Apr 25, 2021","11.50","11.30","11.70","10.90","6.58M","0.88%"
"Apr 18, 2021","11.40","11.50","11.90","11.20","27.11M","0.00%"
"Apr 11, 2021","11.40","11.80","11.90","11.30","8.35M","-3.39%"
"Apr 04, 2021","11.80","12.10","12.20","11.70","12.93M","-3.28%"
"Mar 28, 2021","12.20","12.00","12.30","12.00","18.94M","1.67%"
"Mar 21, 2021","12.00","12.30","12.40","11.90","23.18M","-2.44%"
"Mar 14, 2021","12.30","12.40","12.70","12.20","22.26M","0.00%"
"Mar 07, 2021","12.30","11.90","12.50","11.90","30.66M","1.65%"
"Feb 28, 2021","12.10","11.90","12.20","11.80","16.64M","1.68%"
"Feb 21, 2021","11.90","12.50","12.60","11.80","16.39M","-4.80%"
"Feb 14, 2021","12.50","12.90","13.10","12.50","12.62M","-2.34%"
"Feb 07, 2021","12.80","12.50","13.00","12.20","29.50M","4.07%"
"Jan 31, 2021","12.30","12.80","13.10","12.10","23.90M","-3.91%"
"Jan 24, 2021","12.80","13.40","13.50","12.70","21.04M","-4.48%"
"Jan 17, 2021","13.40","13.60","13.80","13.10","26.45M","-1.47%"
"Jan 10, 2021","13.60","14.00","14.60","13.50","28.68M","-2.16%"
"Jan 03, 2021","13.90","13.80","14.30","13.70","30.26M","-2.11%"
"Dec 27, 2020","14.20","14.10","14.30","13.60","14.86M","2.90%"
"Dec 20, 2020","13.80","13.80","14.20","13.20","24.44M","-4.83%"
"Dec 13, 2020","14.50","13.70","14.50","13.60","24.37M","5.84%"
"Dec 06, 2020","13.70","13.50","14.00","13.50","9.23M","2.24%"
"Nov 29, 2020","13.40","13.60","14.10","13.30","27.98M","-1.47%"
"Nov 22, 2020","13.60","12.50","13.70","12.40","32.39M","9.68%"
"Nov 15, 2020","12.40","12.40","12.60","12.10","14.83M","1.64%"
"Nov 08, 2020","12.20","11.60","12.40","11.50","17.24M","7.02%"
"Nov 01, 2020","11.40","11.30","11.70","11.00","7.80M","0.00%"
"Oct 25, 2020","11.40","11.70","11.80","11.20","9.48M","-2.56%"
"Oct 18, 2020","11.70","11.60","12.00","11.50","6.19M","-0.85%"
"Oct 11, 2020","11.80","12.60","12.70","11.60","11.06M","-5.60%"
"Oct 04, 2020","12.50","12.60","13.10","12.30","19.31M","0.00%"
"Sep 27, 2020","12.50","13.10","13.10","12.30","8.83M","-3.10%"
"Sep 20, 2020","12.90","12.00","12.90","11.70","18.18M","7.50%"
"Sep 13, 2020","12.00","12.60","12.60","11.90","14.69M","-4.00%"
"Sep 06, 2020","12.50","12.50","12.90","12.40","7.29M","-1.57%"
"Aug 30, 2020","12.70","13.20","13.30","12.70","9.31M","-3.79%"
"Aug 23, 2020","13.20","12.90","13.80","12.60","30.24M","2.33%"
"Aug 16, 2020","12.90","13.60","13.70","12.70","18.92M","-3.73%"
"Aug 09, 2020","13.40","12.90","14.00","12.80","21.63M","3.88%"
"Aug 02, 2020","12.90","13.30","13.40","12.90","6.74M","-3.01%"
"Jul 26, 2020","13.30","13.50","13.80","12.70","10.43M","-1.48%"
"Jul 19, 2020","13.50","13.80","14.70","13.20","24.92M","-2.88%"
"Jul 12, 2020","13.90","13.10","13.90","12.60","33.29M","6.92%"
"Jul 05, 2020","13.00","13.10","13.50","12.80","11.22M","0.00%"
"Jun 28, 2020","13.00","13.00","13.20","12.80","13.66M","0.00%"
"Jun 21, 2020","13.00","13.20","13.90","12.70","36.47M","-1.52%"
"Jun 14, 2020","13.20","12.90","13.50","12.40","34.79M","2.33%"
"Jun 07, 2020","12.90","12.40","13.30","12.10","34.85M","4.88%"
"May 31, 2020","12.30","12.00","12.70","12.00","18.01M","3.36%"
"May 24, 2020","11.90","12.00","12.60","11.70","44.13M","3.48%"
"May 17, 2020","11.50","11.90","12.30","11.30","22.08M","-1.71%"
"May 10, 2020","11.70","11.00","12.10","10.90","33.61M","7.34%"
"May 03, 2020","10.90","11.30","11.30","10.50","4.51M","-4.39%"
"Apr 26, 2020","11.40","11.10","11.60","10.60","13.91M","3.64%"
"Apr 19, 2020","11.00","10.40","11.40","10.20","20.11M","6.80%"
"Apr 12, 2020","10.30","9.80","10.80","9.75","19.27M","6.74%"
"Apr 05, 2020","9.65","9.00","10.10","9.00","19.62M","10.92%"
"Mar 29, 2020","8.70","8.90","8.90","8.35","11.36M","-2.79%"
