"วันเดือนปี","ล่าสุด","ราคาเปิด","สูงสุด","ต่ำสุด","ปริมาณ","% เปลี่ยน"
"Apr 25, 2021","5.60","5.35","5.70","5.25","965.20K","5.66%"
"Apr 18, 2021","5.30","4.96","5.40","4.94","3.39M","7.29%"
"Apr 11, 2021","4.94","5.00","5.05","4.88","500.70K","-0.40%"
"Apr 04, 2021","4.96","5.05","5.20","4.90","2.59M","-2.75%"
"Mar 28, 2021","5.10","5.10","5.15","4.98","1.11M","0.00%"
"Mar 21, 2021","5.10","4.88","5.25","4.84","3.30M","4.51%"
"Mar 14, 2021","4.88","4.88","5.05","4.82","4.08M","0.00%"
"Mar 07, 2021","4.88","5.05","5.15","4.74","3.38M","-3.37%"
"Feb 28, 2021","5.05","4.98","5.25","4.90","6.19M","1.00%"
"Feb 21, 2021","5.00","4.86","5.05","4.84","3.12M","2.46%"
"Feb 14, 2021","4.88","5.00","5.00","4.82","1.32M","-1.61%"
"Feb 07, 2021","4.96","4.86","5.00","4.84","1.54M","2.06%"
"Jan 31, 2021","4.86","4.68","4.86","4.68","711.80K","2.97%"
"Jan 24, 2021","4.72","4.84","4.86","4.66","1.98M","-2.48%"
"Jan 17, 2021","4.84","4.92","5.00","4.84","897.10K","-1.63%"
"Jan 10, 2021","4.92","4.74","5.00","4.74","2.95M","3.80%"
"Jan 03, 2021","4.74","4.62","4.82","4.60","1.50M","1.72%"
"Dec 27, 2020","4.66","4.76","4.82","4.60","919.20K","-1.27%"
"Dec 20, 2020","4.72","4.52","4.86","4.50","3.22M","1.72%"
"Dec 13, 2020","4.64","4.52","4.70","4.52","2.12M","2.20%"
"Dec 06, 2020","4.54","4.52","4.56","4.50","977.30K","0.44%"
"Nov 29, 2020","4.52","4.54","4.54","4.46","990.30K","-0.44%"
"Nov 22, 2020","4.54","4.46","4.54","4.44","1.08M","1.79%"
"Nov 15, 2020","4.46","4.40","4.50","4.38","1.16M","1.83%"
"Nov 08, 2020","4.38","4.36","4.44","4.32","1.28M","1.39%"
"Nov 01, 2020","4.32","4.36","4.38","4.28","317.70K","-0.46%"
"Oct 25, 2020","4.34","4.34","4.36","4.28","112.90K","0.93%"
"Oct 18, 2020","4.30","4.36","4.36","4.24","384.30K","-0.46%"
"Oct 11, 2020","4.32","4.36","4.40","4.32","480.80K","-0.92%"
"Oct 04, 2020","4.36","4.30","4.40","4.30","619.60K","1.40%"
"Sep 27, 2020","4.30","4.38","4.40","4.30","223.30K","-1.38%"
"Sep 20, 2020","4.36","4.36","4.44","4.26","971.20K","1.87%"
"Sep 13, 2020","4.28","4.30","4.42","4.22","1.77M","-0.47%"
"Sep 06, 2020","4.30","4.38","4.38","4.28","446.90K","-1.83%"
"Aug 30, 2020","4.38","4.38","4.42","4.34","186.70K","0.00%"
"Aug 23, 2020","4.38","4.40","4.42","4.30","479.10K","-0.45%"
"Aug 16, 2020","4.40","4.38","4.46","4.30","498.00K","0.46%"
"Aug 09, 2020","4.38","4.42","4.48","4.38","820.60K","-1.35%"
"Aug 02, 2020","4.44","4.38","4.52","4.32","754.60K","1.37%"
"Jul 26, 2020","4.38","4.50","4.52","4.26","1.14M","-2.67%"
"Jul 19, 2020","4.50","4.42","4.54","4.42","1.67M","1.81%"
"Jul 12, 2020","4.42","4.48","4.70","4.42","2.90M","-0.90%"
"Jul 05, 2020","4.46","4.48","4.58","4.46","947.40K","0.00%"
"Jun 28, 2020","4.46","4.52","4.54","4.46","901.00K","-0.89%"
"Jun 21, 2020","4.50","4.64","4.74","4.50","1.43M","-3.02%"
"Jun 14, 2020","4.64","4.62","4.82","4.54","4.55M","1.31%"
"Jun 07, 2020","4.58","4.62","4.66","4.40","3.71M","-0.87%"
"May 31, 2020","4.62","4.42","4.88","4.42","2.44M","5.48%"
"May 24, 2020","4.38","4.38","4.48","4.30","2.22M","-0.45%"
"May 17, 2020","4.40","4.28","4.46","4.28","2.15M","2.80%"
"May 10, 2020","4.28","4.50","4.56","4.24","1.93M","-5.73%"
"May 03, 2020","4.54","4.82","4.84","4.50","1.80M","-14.34%"
"Apr 26, 2020","5.30","5.05","5.35","5.05","3.29M","6.00%"
"Apr 19, 2020","5.00","4.82","5.05","4.78","886.90K","3.73%"
"Apr 12, 2020","4.82","4.68","4.94","4.60","1.05M","3.88%"
"Apr 05, 2020","4.64","4.68","4.80","4.52","667.10K","-0.85%"
"Mar 29, 2020","4.68","4.36","4.70","4.32","607.30K","7.34%"
"Mar 22, 2020","4.36","4.18","4.44","4.18","540.80K","-0.91%"
"Mar 15, 2020","4.40","4.26","4.40","4.16","573.80K","3.29%"
"Mar 08, 2020","4.26","4.80","4.80","4.06","1.40M","-11.98%"
"Mar 01, 2020","4.84","4.80","4.94","4.72","1.13M","0.41%"
"Feb 23, 2020","4.82","5.10","5.15","4.76","1.46M","-3.60%"
"Feb 16, 2020","5.00","5.00","5.05","4.84","391.50K","0.00%"
"Feb 09, 2020","5.00","5.15","5.20","4.98","679.60K","-1.96%"
"Feb 02, 2020","5.10","5.00","5.15","4.90","502.60K","3.24%"
"Jan 26, 2020","4.94","4.98","4.98","4.74","1.11M","-1.20%"
"Jan 19, 2020","5.00","5.35","5.45","4.96","1.56M","-6.54%"
"Jan 12, 2020","5.35","5.00","5.35","5.00","1.65M","7.86%"
"Jan 05, 2020","4.96","5.15","5.20","4.82","1.99M","-5.52%"
"Dec 29, 2019","5.25","5.05","5.35","5.05","1.85M","3.96%"
"Dec 22, 2019","5.05","4.94","5.15","4.94","1.57M","2.64%"
"Dec 15, 2019","4.92","4.82","5.05","4.74","1.14M","3.80%"
"Dec 08, 2019","4.74","4.64","4.84","4.50","1.35M","2.60%"
"Dec 01, 2019","4.62","4.66","4.70","4.60","286.80K","-0.86%"
"Nov 24, 2019","4.66","4.64","4.68","4.62","424.20K","0.43%"
"Nov 17, 2019","4.64","4.70","4.74","4.56","639.10K","-1.28%"
"Nov 10, 2019","4.70","4.62","4.70","4.54","477.60K","3.52%"
"Nov 03, 2019","4.54","4.42","4.54","4.40","154.10K","2.71%"
"Oct 27, 2019","4.42","4.42","4.48","4.36","73.00K","0.00%"
"Oct 20, 2019","4.42","4.50","4.50","4.30","301.70K","-1.78%"
"Oct 13, 2019","4.50","4.48","4.52","4.48","9.60K","-0.44%"
"Oct 06, 2019","4.52","4.52","4.54","4.48","35.40K","-0.44%"
"Sep 29, 2019","4.54","4.50","4.58","4.48","657.00K","0.89%"
"Sep 22, 2019","4.50","4.54","4.64","4.50","608.20K","-0.88%"
"Sep 15, 2019","4.54","4.54","4.64","4.48","275.30K","-0.44%"
"Sep 08, 2019","4.56","4.60","4.60","4.50","287.90K","-0.87%"
"Sep 01, 2019","4.60","4.58","4.60","4.54","240.00K","0.44%"
"Aug 25, 2019","4.58","4.56","4.58","4.50","751.20K","0.44%"
"Aug 18, 2019","4.56","4.52","4.64","4.50","962.20K","1.33%"
"Aug 11, 2019","4.50","4.58","4.64","4.42","422.30K","-1.75%"
"Aug 04, 2019","4.58","4.60","4.70","4.46","1.14M","-0.43%"
"Jul 28, 2019","4.60","4.74","4.74","4.56","389.70K","-2.54%"
"Jul 21, 2019","4.72","4.76","4.82","4.72","415.30K","-0.84%"
"Jul 14, 2019","4.76","4.64","4.82","4.64","662.00K","3.03%"
"Jul 07, 2019","4.62","4.58","4.64","4.54","618.70K","0.43%"
"Jun 30, 2019","4.60","4.70","4.72","4.58","550.30K","-2.13%"
"Jun 23, 2019","4.70","4.62","4.72","4.58","600.90K","1.73%"
"Jun 16, 2019","4.62","4.70","4.80","4.60","3.32M","-0.86%"
"Jun 09, 2019","4.66","4.48","4.74","4.48","1.45M","3.56%"
"Jun 02, 2019","4.50","4.34","4.50","4.34","220.50K","3.21%"
"May 26, 2019","4.36","4.32","4.36","4.22","403.40K","1.40%"
"May 19, 2019","4.30","4.32","4.38","4.26","81.00K","-0.92%"
"May 12, 2019","4.34","4.40","4.40","4.20","196.60K","-0.46%"
"May 05, 2019","4.36","4.48","4.48","4.34","355.70K","-7.23%"
