"วันเดือนปี","ล่าสุด","ราคาเปิด","สูงสุด","ต่ำสุด","ปริมาณ","% เปลี่ยน"
"Apr 25, 2021","7.65","7.40","7.95","7.40","253.70K","2.68%"
"Apr 18, 2021","7.45","7.15","7.70","7.15","1.61M","2.05%"
"Apr 11, 2021","7.30","7.70","7.75","7.25","653.10K","-6.41%"
"Apr 04, 2021","7.80","8.20","8.20","7.45","1.92M","-3.11%"
"Mar 28, 2021","8.05","7.90","8.35","7.85","3.81M","1.26%"
"Mar 21, 2021","7.95","8.30","8.60","7.95","5.58M","-3.64%"
"Mar 14, 2021","8.25","8.25","8.70","8.10","4.83M","0.00%"
"Mar 07, 2021","8.25","7.80","8.75","7.55","19.39M","10.74%"
"Feb 28, 2021","7.45","6.95","7.50","6.85","5.21M","5.67%"
"Feb 21, 2021","7.05","7.10","7.55","6.70","4.90M","0.00%"
"Feb 14, 2021","7.05","7.10","7.45","6.85","4.70M","0.00%"
"Feb 07, 2021","7.05","6.90","7.45","6.90","1.64M","-2.76%"
"Jan 31, 2021","7.25","7.00","7.75","6.90","7.75M","6.62%"
"Jan 24, 2021","6.80","6.30","7.30","6.20","7.47M","7.94%"
"Jan 17, 2021","6.30","6.60","6.75","6.30","768.00K","-4.55%"
"Jan 10, 2021","6.60","6.25","6.80","6.20","1.87M","5.60%"
"Jan 03, 2021","6.25","6.40","6.55","6.20","1.07M","-3.10%"
"Dec 27, 2020","6.45","6.60","6.75","6.35","499.70K","-1.53%"
"Dec 20, 2020","6.55","6.90","7.00","6.35","2.34M","-9.03%"
"Dec 13, 2020","7.20","6.35","7.60","6.15","4.16M","12.50%"
"Dec 06, 2020","6.40","6.30","6.50","6.30","715.00K","1.59%"
"Nov 29, 2020","6.30","6.55","6.55","6.00","976.50K","-3.82%"
"Nov 22, 2020","6.55","5.70","6.70","5.70","3.67M","14.91%"
"Nov 15, 2020","5.70","5.80","5.80","5.45","1.96M","-2.56%"
"Nov 08, 2020","5.85","5.80","5.90","5.55","1.28M","0.86%"
"Nov 01, 2020","5.80","5.60","5.90","5.45","546.00K","4.50%"
"Oct 25, 2020","5.55","5.70","5.75","5.45","340.10K","-0.89%"
"Oct 18, 2020","5.60","6.30","6.30","5.45","901.70K","-11.11%"
