"วันเดือนปี","ล่าสุด","ราคาเปิด","สูงสุด","ต่ำสุด","ปริมาณ","% เปลี่ยน"
"Apr 25, 2021","30.00","29.00","31.50","28.50","15.62M","4.35%"
"Apr 18, 2021","28.75","30.50","31.50","28.75","101.87M","-4.96%"
"Apr 11, 2021","30.25","30.25","30.75","30.00","27.97M","-1.63%"
"Apr 04, 2021","30.75","32.50","32.50","29.50","114.57M","-4.65%"
"Mar 28, 2021","32.25","32.75","33.25","31.75","85.17M","-0.77%"
"Mar 21, 2021","32.50","31.25","32.75","30.75","113.95M","4.84%"
"Mar 14, 2021","31.00","30.25","31.50","29.75","77.09M","2.48%"
"Mar 07, 2021","30.25","31.00","32.00","30.00","133.83M","-0.82%"
"Feb 28, 2021","30.50","30.00","31.25","29.75","125.19M","0.83%"
"Feb 21, 2021","30.25","29.75","31.75","28.50","202.47M","3.42%"
"Feb 14, 2021","29.25","29.25","30.00","28.25","107.31M","0.86%"
"Feb 07, 2021","29.00","28.50","31.25","28.25","155.80M","3.57%"
"Jan 31, 2021","28.00","24.90","28.00","24.40","180.20M","12.90%"
"Jan 24, 2021","24.80","26.00","26.50","24.40","124.71M","-5.52%"
"Jan 17, 2021","26.25","25.25","27.50","25.00","127.30M","3.96%"
"Jan 10, 2021","25.25","25.75","26.50","25.00","79.98M","-0.98%"
"Jan 03, 2021","25.50","25.00","27.25","24.80","160.23M","-0.97%"
"Dec 27, 2020","25.75","26.25","26.25","25.00","60.65M","-0.96%"
"Dec 20, 2020","26.00","25.00","26.00","24.30","220.01M","-2.80%"
"Dec 13, 2020","26.75","28.50","28.75","26.50","191.47M","-4.46%"
"Dec 06, 2020","28.00","26.25","29.50","26.00","96.00M","6.67%"
"Nov 29, 2020","26.25","25.25","26.50","24.70","237.94M","2.94%"
"Nov 22, 2020","25.50","24.20","26.00","24.10","443.94M","4.94%"
"Nov 15, 2020","24.30","23.50","25.25","23.30","524.62M","4.74%"
"Nov 08, 2020","23.20","18.20","23.60","18.00","849.03M","29.61%"
"Nov 01, 2020","17.90","16.60","18.20","16.40","215.76M","7.19%"
"Oct 25, 2020","16.70","17.90","18.00","16.60","251.77M","-6.18%"
"Oct 18, 2020","17.80","18.00","18.70","17.60","196.69M","-2.73%"
"Oct 11, 2020","18.30","19.90","20.20","18.10","206.02M","-8.04%"
"Oct 04, 2020","19.90","19.50","21.10","19.30","248.27M","3.11%"
"Sep 27, 2020","19.30","20.30","21.00","19.20","227.90M","-3.98%"
"Sep 20, 2020","20.10","22.80","23.20","20.00","331.87M","-11.45%"
"Sep 13, 2020","22.70","21.90","23.60","21.60","299.68M","5.09%"
"Sep 06, 2020","21.60","22.30","22.80","21.60","187.42M","-4.42%"
"Aug 30, 2020","22.60","22.90","23.30","21.50","315.82M","-1.74%"
"Aug 23, 2020","23.00","20.60","23.50","20.50","524.33M","12.75%"
"Aug 16, 2020","20.40","20.20","20.90","19.30","311.68M","1.49%"
"Aug 09, 2020","20.10","18.40","21.40","18.20","357.56M","9.84%"
"Aug 02, 2020","18.30","18.30","19.00","17.90","184.95M","0.55%"
"Jul 26, 2020","18.20","19.70","19.70","17.70","134.06M","-7.14%"
"Jul 19, 2020","19.60","18.90","20.60","18.40","369.24M","3.16%"
"Jul 12, 2020","19.00","19.70","20.20","18.50","271.91M","-2.06%"
"Jul 05, 2020","19.40","21.10","21.30","19.40","197.04M","-6.73%"
"Jun 28, 2020","20.80","20.00","21.40","19.50","308.90M","3.48%"
"Jun 21, 2020","20.10","21.84","21.84","19.85","381.37M","-8.36%"
"Jun 14, 2020","21.93","22.23","23.72","21.34","535.34M","-3.07%"
"Jun 07, 2020","22.63","22.03","26.05","20.74","1.16B","3.17%"
"May 31, 2020","21.93","18.86","22.03","18.56","424.81M","18.82%"
"May 24, 2020","18.46","16.97","19.95","16.77","623.51M","10.06%"
"May 17, 2020","16.77","17.27","18.56","15.38","724.34M","-6.63%"
